anio,depto,ocupados,ocupados_horas_validas,horas_sem_expandidas_validas,horas_semanales_promedio,share_ocupados_sin_horas_validas,horas_sem_expandidas,horas_anuales,horas_mensuales,departamento,ocupados_remuneracion_valida,horas_mensuales_remuneracion_valida,rem_total_mensual,rem_por_trabajador,rem_por_hora,share_ocupados_remuneracion_valida
2021,5,2211451.4605565486,2210748.3270843267,100614504.86358164,45.51151464458116,0.000317951121588278,100646505.53289975,5233618287.710787,436134857.30923223,Antioquia,2210748.3270843267,435996187.7421871,4048635012948.707,1831341.434639148,9285.941315025311,0.9996820488784117
2022,5,2937648.98824056,2935540.4544092813,134199986.55771065,45.71559773810568,0.0007177623465973726,134296379.44215858,6983411730.992247,581950977.5826873,Antioquia,2935540.4544092813,581533275.0834128,5747640471797.945,1957949.6726624204,9883.596894732338,0.9992822376534026
2023,5,3075272.3299899073,3073990.615260866,140164661.79696646,45.59697127932571,0.0004167808868639211,140223104.10665485,7291601413.546052,607633451.1288377,Antioquia,3073990.615260866,607380201.120188,6226670266008.75,2025598.3330256005,10251.684619493582,0.9995832191131361
2024,5,3130339.2561002993,3130021.9262336837,141036645.1965399,45.05931540430055,0.00010137235636586972,141050943.86308694,7334649080.880521,611220756.7400434,Antioquia,3130021.9262336837,611158795.8516729,6636176525142.659,2120169.341154708,10858.35067773981,0.9998986276436341
2025,5,3311770.0767034027,3310758.8143393244,148407855.6876665,44.8259338750056,0.00030535403746534406,148453186.46752897,7719565696.311506,643297141.3592921,Antioquia,3310758.8143393244,643100707.9798882,7224216431346.597,2182042.497344591,11233.413898795647,0.9996946459625347
2010,8,760919.0698676498,760494.4607617614,36089875.663816236,47.45580346195584,0.0005580213753378915,36110025.830093436,1877721343.1648586,156476778.59707156,Atlántico,760494.4607617614,156389461.20987037,1033949421661.1255,1359575.2171888978,6611.375304078794,0.9994419786246621
2011,8,840843.0737257728,840536.8432707902,39697413.291807234,47.2286415635658,0.000364194538257534,39711876.14020146,2065017559.2904758,172084796.60753965,Atlántico,840536.8432707902,172022124.264498,1017089678046.4049,1210047.7048556167,5912.551553441735,0.9996358054617425
2012,8,841100.2026149115,840919.0219038634,39843969.70644728,47.38145846224224,0.0002154091872582642,39852554.31278196,2072332824.2646618,172694402.02205515,Atlántico,840919.0219038634,172657202.06127155,1072962483933.155,1275940.3176585766,6214.409078356248,0.9997845908127417
2013,8,815295.2415627048,815198.702988944,38137221.76113443,46.78273115659221,0.00011840934282369986,38141738.09927692,1983370381.1624,165280865.09686667,Atlántico,815198.702988944,165261294.29824919,1048785364572.9587,1286539.540271058,6346.225043355901,0.9998815906571763
2014,8,757054.86887733,756959.0109974301,35583657.48684918,47.00869792138585,0.00012661946160130721,35588163.640968785,1850584509.3303769,154215375.77753142,Atlántico,756959.0109974301,154195849.10967976,947453153909.8917,1251657.1441054004,6144.478981635665,0.9998733805383987
2015,8,845442.316008528,844713.0913764063,38816675.205754064,45.952496299666386,0.0008625362349551358,38850184.89796326,2020209614.6940897,168350801.22450748,Atlántico,844713.0913764063,168205592.5582676,1103865699049.8552,1306793.6442788832,6562.598081674772,0.9991374637650449
2016,8,934004.403009619,933421.3840880989,41963905.23556473,44.95708578238879,0.0006242143180925641,41990116.067232266,2183486035.496078,181957169.62467316,Atlántico,933421.3840880989,181843589.35411382,1261789675388.6965,1351789.9813505937,6938.873566400768,0.9993757856819074
2017,8,937428.5944082356,936913.7556343799,42243521.96883298,45.08795149477775,0.0005492031893700178,42266734.99449621,2197870219.713803,183155851.6428169,Atlántico,936913.7556343799,183055261.86494288,1314571580996.321,1403087.0750811326,7181.282677174308,0.99945079681063
