depto,departamento,pib_2010,pib_2024,ocupados_2010,ocupados_2024,horas_2010,horas_2024,horas_sem_2010,horas_sem_2024,pib_trabajador_2010,pib_trabajador_2024,pib_hora_2010,pib_hora_2024,crec_pib,crec_ocupados,crec_horas,crec_horas_por_trabajador,crec_pib_trabajador,crec_pib_hora
19,Cauca,10527.986557692253,17418.488066932117,482915.1096216211,653618.4184819818,1021851545.4304764,1271998435.6973412,40.69243406708801,37.424753781581735,21.800905268715358,26.649322562522446,10302.853290941708,13693.796767433027,0.036618459205522536,0.021855613027131238,0.015763889051513047,-0.0059614331985435864,0.014447096038018747,0.02053092296230652
68,Santander,42785.68473514107,62586.91370183193,875956.21370853,1009902.5625092613,2149933363.7072487,2395341264.762726,47.19970214486412,45.61257372903086,48.84454732503078,61.9732200167162,19900.935283577048,26128.599971341275,0.027540461448353426,0.010215614374878612,0.007750514022581312,-0.0024401724911199407,0.017149652833465145,0.019637744809256175
52,Nariño,9259.411637378087,14662.831531486238,596192.2221348764,824688.2288883963,1324715018.8635643,1607676144.2443392,42.72999190273912,37.48913570580341,15.53091652927222,17.779848211548238,6989.738551708636,9120.513222753736,0.03337893360388677,0.02344506214653186,0.013924077352353681,-0.009302878235798229,0.009706306498289186,0.019187685435319013
23,Córdoba,11607.732179651237,17032.132414305022,598140.0017920486,774002.029012392,1381102664.776987,1597996629.9521925,44.40376258192559,39.7036484017609,19.40638001951727,22.005281350538073,8404.68451454736,10658.428243878445,0.027766370983596023,0.01858121102192234,0.010473649087906267,-0.007959661778840443,0.009017601996072822,0.01711348129790302
5,Antioquia,88492.49504848177,149162.56286814398,2216839.4908533823,3130339.2561002993,5420731185.616983,7334649080.880521,47.02407680968584,45.059315404300555,39.91831407442862,47.6506061052204,16324.826304481214,20336.7006687438,0.0379983691588639,0.024953311009044965,0.02183342555623402,-0.0030439293373661913,0.012727465738879618,0.015819548664529615
15,Boyacá,17346.016995581424,25177.13652572238,428967.0211261067,529805.9535491505,936344679.5246425,1113989985.4676843,41.97671980733322,40.43534088736809,40.43671457550599,47.52142998216927,18525.24756629956,22600.864329271604,0.026969656754224358,0.01519505802808907,0.012485860877191612,-0.0026686469062998652,0.011598360958342546,0.014305183347927741
54,Norte de Santander,10706.444650889329,15628.732391989028,522222.97659854864,642195.3250474753,1298632133.1777751,1558661830.664003,47.82189981656348,46.674687287846346,20.501672907279513,24.336415701614847,8244.401457008826,10027.019385809337,0.02738726248329182,0.014880909222670491,0.013122218100863448,-0.001732903935648955,0.012322976170869415,0.014080279878935675
47,Magdalena,9138.294165773621,13126.113447441481,391449.7493849413,550091.0381352282,1007114249.047178,1280275168.1413405,49.476546460629265,44.757457590788675,23.344743942567362,23.861711130466922,9073.741310302461,10252.572082998002,0.026203860828499792,0.02459960040303022,0.01728961954760555,-0.007134475606421553,0.0015657437547684783,0.008762736893804357
8,Atlántico,26632.75430434173,45132.440414469056,760919.0698676498,1209186.9753406516,1877721343.1648586,2828100036.9221563,47.45580346195584,44.97777455488899,35.000771250185764,37.32461673411125,14183.549865526267,15958.572831669366,0.038394402070407896,0.033637397046352824,0.02968537567267826,-0.003823411754419359,0.004602199028061804,0.00845794900412189
20,Cesar,11558.931327489556,15193.05583498387,353503.7225172694,466649.8886965541,904266390.9619833,1097895580.6284647,49.192518154829116,45.244576420067844,32.69818842409751,32.55771875874887,12782.661661452274,13838.343193154089,0.019719048743274348,0.020032675174874504,0.013955518846935355,-0.005957805544706818,-0.0003074670441770566,0.005684203881934691
50,Meta,21269.755617411487,32066.04600507523,339224.6313782941,508097.8658874078,887041436.9812409,1238484233.1491275,50.28670560686086,46.874836685330244,62.70109434857646,63.109979706509776,23978.31119343898,25891.363932458004,0.02975638543965209,0.029278394288272835,0.024125846252013083,-0.005005980952143219,0.0004643944282050061,0.005497897751770342
41,Huila,11723.976802425374,15353.680484528884,364173.5576786011,485561.0025486689,836835987.8153236,1079522243.7768264,44.19046750198724,42.75475798218274,32.19337745760303,31.620497535713756,14009.886014859901,14222.66245372801,0.019452435434969217,0.020760736224657572,0.018355409667320854,-0.002356405837310227,-0.0012816919217790712,0.001077252359278802
25,Cundinamarca,38164.356792697385,60506.329392063584,902924.6650400647,1497470.1840930174,2153896480.8772473,3484104971.2048326,45.87435449986113,44.743474286666725,42.267487278137374,40.405698914607,17718.751635247416,17366.391050824164,0.03346534613602059,0.036796048629179845,0.034949189802907954,-0.0017813135271047553,-0.0032124953577541415,-0.0014337357635593184
44,La Guajira,7537.923684586167,8221.498196294806,271571.4127948123,331294.377495861,631858628.379877,740271837.8718154,44.74376497803419,42.970837566744265,27.75669061412402,24.816292562639465,11929.76299764055,11106.052906092627,0.006219668314024762,0.014300009504672806,0.011375051386754542,-0.002883720881898366,-0.007966421290475978,-0.00509739988707536
