indicador,depto,departamento,nivel_inicial_log,crecimiento_anualizado,nivel_inicial,nivel_final,ocupados_fin
Remuneraci?n por trabajador,54,Norte de Santander,14.087232873366938,0.008561710872777017,1312222.5667194594,1504874.775915164,673286.7145479275
Remuneraci?n por trabajador,63,Quindío,13.998006402705379,0.022033998391092213,1200209.1637634125,1707516.2324869868,256407.09811340956
Remuneraci?n por trabajador,66,Risaralda,14.057013809630357,0.022394481290304524,1273161.5948071715,1821781.652712492,449847.63761151687
Remuneraci?n por trabajador,68,Santander,14.285266448760977,0.01193253498741309,1599603.6675769635,1936101.568594644,1045570.2664773326
Remuneraci?n por trabajador,70,Sucre,13.758471682631553,0.004031148381544503,944557.3486715592,1007487.3901417024,403195.9914862028
Remuneraci?n por trabajador,73,Tolima,13.962303040586988,0.01929720453235395,1158113.6093931186,1577036.976603991,580409.6244525462
Remuneraci?n por trabajador,76,Valle del Cauca,14.16563543268344,0.01844924535416048,1419244.7653195777,1906583.3160043797,2011697.4232403864
Remuneraci?n por hora,5,Antioquia,9.009096167175622,0.019827901987694574,8177.127177981566,11229.98373050713,3311770.0767034027
Remuneraci?n por hora,8,Atlántico,8.682944204172156,0.022622003085771336,5901.395953359054,8475.172224732205,1256860.111565948
Remuneraci?n por hora,11,Bogotá D.C.,9.244230519315781,0.02291838284669545,10344.709610989104,14926.965850491328,4160820.066882373
Remuneraci?n por hora,13,Bolívar,8.566036274185283,0.019709454075647725,5250.2778299990905,7196.769612516412,885761.33413306
Remuneraci?n por hora,15,Boyacá,8.738735776133343,0.022748333461372727,6240.001964164288,8979.586482488437,522604.17780840414
Remuneraci?n por hora,17,Caldas,8.726440179846106,0.026656183984664295,6163.747178900163,9442.151285605076,466839.7189306313
Remuneraci?n por hora,18,Caquetá,8.632952221965654,0.020540314640241752,5613.626485182072,7797.8026091274305,153617.57973122044
Remuneraci?n por hora,19,Cauca,8.572358024327237,0.01627073825457115,5283.573908472169,6854.700061951181,627653.8564868355
Remuneraci?n por hora,20,Cesar,8.667710470560545,0.012829251039881195,5812.17695409234,7136.505339023326,515871.15542724985
Remuneraci?n por hora,23,Córdoba,8.505658975236363,0.014889504957564692,4942.660239394419,6272.253974272312,791370.3113817273
Remuneraci?n por hora,25,Cundinamarca,8.76413660838788,0.030451184685242882,6400.533392082625,10418.679328323347,1706608.0129832893
Remuneraci?n por hora,27,Chocó,8.564892095824721,0.012084350716349612,5244.274011093898,6362.913871355486,137366.38913717508
Remuneraci?n por hora,41,Huila,8.700348068291312,0.012771518227758683,6005.002004332593,7366.458643023708,467605.9717708409
Remuneraci?n por hora,44,La Guajira,8.737765695753854,-0.009456200800493586,6233.951595837168,5358.645318022194,348363.9258438963
Remuneraci?n por hora,47,Magdalena,8.540664612091751,0.014698968828886216,5118.745211362326,6475.933935788256,594008.2057770757
Remuneraci?n por hora,50,Meta,8.802799423593918,0.017911238536196916,6652.842085281711,8860.683988045554,524442.8747610816
Remuneraci?n por hora,52,Nariño,8.651249046093834,0.01126506912658709,5717.283426327681,6846.48151685027,849082.5809281862
Remuneraci?n por hora,54,Norte de Santander,8.74370253568323,0.012115460680659607,6271.071647463546,7612.52279608887,673286.7145479275
Remuneraci?n por hora,63,Quindío,8.652106236840357,0.029693358515983537,5722.18632983752,9202.219400202508,256407.09811340956
Remuneraci?n por hora,66,Risaralda,8.701088005452098,0.02764427441230788,6009.446972762043,9352.475962485312,449847.63761151687
Remuneraci?n por hora,68,Santander,8.951149252599038,0.015174437722885292,7716.755268034169,9837.336339197896,1045570.2664773326
Remuneraci?n por hora,70,Sucre,8.468137001401372,0.01446327982268747,4760.638140649069,6000.208385743706,403195.9914862028
Remuneraci?n por hora,73,Tolima,8.643984635976974,0.0230468600217284,5675.901225387857,8206.931625264,580409.6244525462
Remuneraci?n por hora,76,Valle del Cauca,8.864438138305038,0.021595235753822828,7075.816613863888,9996.216099975827,2011697.4232403864
