anio,depto,departamento,pib_miles_millones_2015,ocupados,ocupados_horas_validas,horas_sem_expandidas_validas,horas_semanales_promedio,share_ocupados_sin_horas_validas,horas_sem_expandidas,horas_anuales,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015,horas_semanales_por_trabajador
2013,8,Atlántico,31663.831737896304,815295.2415627048,815198.702988944,38137221.76113443,46.78273115659221,0.00011840934282369986,38141738.09927692,1983370381.1624,31663831737896.305,38.83725811671013,15964.658965683951,46.78273115659221
2014,8,Atlántico,33772.29157519511,757054.86887733,756959.0109974301,35583657.48684918,47.00869792138585,0.00012661946160130721,35588163.640968785,1850584509.3303769,33772291575195.11,44.61009758153663,18249.52678730431,47.00869792138586
2015,8,Atlántico,35716.29568989337,845442.316008528,844713.0913764063,38816675.205754064,45.952496299666386,0.0008625362349551358,38850184.89796326,2020209614.6940897,35716295689893.37,42.24569200476724,17679.49990442042,45.952496299666386
2016,8,Atlántico,36347.380065247504,934004.403009619,933421.3840880989,41963905.23556473,44.95708578238879,0.0006242143180925641,41990116.067232266,2183486035.496078,36347380065247.5,38.915641027093926,16646.49073745486,44.957085782388795
2017,8,Atlántico,36779.304586598766,937428.5944082356,936913.7556343799,42243521.96883298,45.08795149477775,0.0005492031893700178,42266734.99449621,2197870219.713803,36779304586598.766,39.2342465399364,16734.06566807571,45.08795149477775
2018,8,Atlántico,37609.64597709261,966033.1301276636,965775.8092112031,43322668.33876341,44.85789344231678,0.00026636862487983137,43334211.213014476,2253378983.0767527,37609645977092.61,38.93204570750322,16690.33316612396,44.85789344231678
2019,8,Atlántico,38689.99370682553,1069738.2888898475,1068225.3857145675,48783007.0166395,45.667335441581095,0.0014142741182519014,48852097.273435645,2540309058.2186537,38689993706825.53,36.16771887914493,15230.427802338429,45.667335441581095
2021,8,Atlántico,40607.357145230155,990511.3807259536,989412.2459330023,43582290.70104234,44.048667155867705,0.001109663971902819,43630706.12369648,2268796718.432217,40607357145230.16,40.99635595854406,17898.19106107075,44.048667155867705
2022,8,Atlántico,44372.49262887849,1166496.5446337063,1164606.2179608345,51114007.70805422,43.889519839205576,0.0016205163072003925,51196973.23806581,2662242608.379422,44372492628878.49,38.03911193137051,16667.336210913254,43.889519839205576
2023,8,Atlántico,44673.47437505063,1233057.3922895016,1231657.257106489,55913471.74797009,45.396940930893905,0.0011354987949204753,55977033.602168575,2910805747.312766,44673474375050.63,36.22984189900711,15347.459862717686,45.396940930893905
2024,8,Atlántico,45132.440414469056,1209186.9753406516,1208997.0785044276,54377998.03449156,44.97777455488898,0.00015704505597280427,54386539.17157993,2828100036.9221563,45132440414469.055,37.32461673411125,15958.572831669366,44.97777455488899
2010,11,Bogotá D.C.,167408.94535518353,3269608.6969012227,3263993.469105084,157685767.85210717,48.31068730518667,0.0017174005566661377,157957043.36631382,8213766255.048319,167408945355183.53,51.20152314062709,20381.50833088185,48.31068730518667
2011,11,Bogotá D.C.,176869.71708896477,3418873.258181581,3411285.5908781956,162073252.03800288,47.510901013796094,0.002219347349372347,162433748.94817963,8446554945.305341,176869717088964.78,51.73333543900884,20939.86462341908,47.5109010137961
2012,11,Bogotá D.C.,183103.76718077803,3509967.2281839694,3505226.159496873,167046341.33113748,47.65636616015518,0.0013507444311806616,167272283.4364802,8698158738.69697,183103767180778.03,52.166802501889606,21050.865209687807,47.65636616015518
2013,11,Bogotá D.C.,190160.1686253778,3548110.034808426,3542637.1292612264,167875778.16945717,47.38723500153277,0.0015424847294780442,168135124.0307635,8743026449.599703,190160168625377.78,53.59477771541128,21749.924894037602,47.38723500153277
2014,11,Bogotá D.C.,198995.5951380746,3620902.1725722044,3615591.7681449205,170456716.40212783,47.144901120732825,0.001466597045208684,170707074.89376324,8876767894.475689,198995595138074.6,54.957462437244686,22417.573322145356,47.144901120732825
2015,11,Bogotá D.C.,206478.40891632767,3617817.5869811964,3612144.9615248144,170698855.60950276,47.25692280562426,0.0015679688983754048,170966926.43280023,8890280174.505611,206478408916327.66,57.072642263486465,23225.1858055542,47.25692280562426
2016,11,Bogotá D.C.,210682.96893131113,3535659.2854017583,3533192.6754986467,165830857.31327367,46.9351299359494,0.0006976378955110274,165946627.96957752,8629224654.418032,210682968931311.12,59.588029254173776,24415.052031754054,46.9351299359494
