anio,pib_miles_millones_2015,ocupados,horas_sem_expandidas,horas_anuales,group_code,group_name,group_label_short,group_order,sector_code,dane_groups,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015
2024,12629.0,377663.8115925413,16917568.33182964,879713553.2551413,"052|053,057|055|056",Equipo eléctrico y electrónico; Maquinaria e instalación; Muebles y colchones; Otras manufactureras,Equipo eléctrico y electrónico; Maquinaria e instalación; Muebles y colchones; Otras manufactureras,29,C,"052; 053,057; 055; 056",12629000000000.0,33.439793838720604,14355.809289591836
2025,12896.909312540296,421216.4485385318,18699644.010619182,972381488.5521976,"052|053,057|055|056",Equipo eléctrico y electrónico; Maquinaria e instalación; Muebles y colchones; Otras manufactureras,Equipo eléctrico y electrónico; Maquinaria e instalación; Muebles y colchones; Otras manufactureras,29,C,"052; 053,057; 055; 056",12896909312540.297,30.61824712042441,13263.219697592987
2010,2081.9999999999995,42920.03026238436,2150059.0606713053,111803071.15490788,054,Vehículos y equipo de transporte,Vehículos y equipo de transporte,31,C,054,2081999999999.9995,48.50881947827259,18622.028701835035
2011,2522.0,45345.393834781695,2208145.010244564,114823540.53271733,054,Vehículos y equipo de transporte,Vehículos y equipo de transporte,31,C,054,2522000000000.0,55.61755642015236,21964.137216979405
2012,2680.0000000000005,49301.46013896196,2395935.3878852585,124588640.17003344,054,Vehículos y equipo de transporte,Vehículos y equipo de transporte,31,C,054,2680000000000.0005,54.359444780055306,21510.78939735153
2013,2431.0,42483.144586325034,2088629.5605899768,108608737.1506788,054,Vehículos y equipo de transporte,Vehículos y equipo de transporte,31,C,054,2431000000000.0,57.22269440437134,22383.09793278732
2014,2597.0,42512.16217069355,2067652.1768483194,107517913.1961126,054,Vehículos y equipo de transporte,Vehículos y equipo de transporte,31,C,054,2597000000000.0,61.08840076335341,24154.11462890908
2015,2503.0000000000005,38860.877091686765,1882182.0381322687,97873465.98287797,054,Vehículos y equipo de transporte,Vehículos y equipo de transporte,31,C,054,2503000000000.0005,64.40925134279715,25573.83632901972
2016,2424.0,35829.52346255687,1705362.7463195685,88678862.80861756,054,Vehículos y equipo de transporte,Vehículos y equipo de transporte,31,C,054,2424000000000.0,67.65370470341773,27334.58597942736
2017,2276.0,34981.40993905992,1701426.4266161607,88474174.18404035,054,Vehículos y equipo de transporte,Vehículos y equipo de transporte,31,C,054,2276000000000.0,65.06312935827779,25725.021126114814
2018,2474.0,36013.82649658647,1736834.276075035,90315382.35590182,054,Vehículos y equipo de transporte,Vehículos y equipo de transporte,31,C,054,2474000000000.0,68.69583825630124,27392.897372131116
2019,2544.0,36266.8120683501,1747406.941686573,90865160.9677018,054,Vehículos y equipo de transporte,Vehículos y equipo de transporte,31,C,054,2544000000000.0,70.14677758843156,27997.529227998286
2021,2171.0,22119.541085698314,1060703.8190468103,55156598.590434134,054,Vehículos y equipo de transporte,Vehículos y equipo de transporte,31,C,054,2171000000000.0,98.14851002508769,39360.65775412987
2022,2717.9999999999995,34674.85428444544,1648684.912530899,85731615.45160675,054,Vehículos y equipo de transporte,Vehículos y equipo de transporte,31,C,054,2717999999999.9995,78.38533300540065,31703.590159621326
2023,2004.0000000000002,31023.672304248616,1479145.6922197791,76915575.99542852,054,Vehículos y equipo de transporte,Vehículos y equipo de transporte,31,C,054,2004000000000.0002,64.59583444367279,26054.540631914504
