depto,departamento,ocupados_inicio,ocupados_fin,horas_sem_inicio,horas_sem_fin,rem_trabajador_inicio,rem_trabajador_fin,rem_hora_inicio,rem_hora_fin,crec_ocupados,crec_rem_trabajador,crec_rem_hora,share_ocupados_remuneracion_valida_fin,ranking_rem_trabajador,ranking_rem_hora,ranking_crec_rem_trabajador,ranking_crec_rem_hora,rem_trabajador_rel_lider,rem_hora_rel_lider
5,Antioquia,2052984.8756921368,3311770.0767034027,45.74927149385575,44.8259338750056,1621089.6489894825,2181376.201858106,8177.127177981566,11229.98373050713,0.03033784427382802,0.018726775804759566,0.02002578051114101,0.9996946459625347,2,2,7,11,0.7539241898275097,0.7523286274643344
8,Atlántico,750421.8888382016,1256860.111565948,48.62887340451834,43.9597980067367,1243572.3591452816,1614456.3893099767,5901.395953359054,8475.172224732205,0.032758648757030384,0.01644691855608582,0.02287982104663966,0.9997502091698139,10,11,10,8,0.5579861576767792,0.5677759505595198
11,Bogotá D.C.,2894592.734262623,4160820.0668823733,48.646978793915885,44.73106681283916,2180701.7659916873,2893362.79600895,10344.709610989103,14926.965850491328,0.022938364359947228,0.017830389680477232,0.02318302685326845,0.9996508496484138,1,1,9,6,1.0,1.0
13,Bolívar,562658.6924622254,885761.33413306,49.993227938075115,43.710940975459465,1137406.1239379232,1363169.477568969,5250.2778299990905,7196.769612516412,0.02876689461715598,0.011380656648602772,0.01990496774235684,1.0,17,16,16,12,0.47113672694253866,0.48213211476460416
15,Boyacá,390103.80984147574,522604.17780840414,42.071214553143065,40.14901986976799,1137605.999601023,1562260.2498001559,6240.001964164288,8979.586482488437,0.018443739460491493,0.020023304717800006,0.023009050001226994,0.9999665017641903,13,9,4,7,0.5399462009932208,0.6015680998019347
17,Caldas,310877.6970847659,466839.7189306313,49.33129136360557,43.62012617265772,1317617.6345536788,1784760.5984841345,6163.747178900163,9442.151285605076,0.025737278801897467,0.019147188381943847,0.027014637974593247,0.9998901696812273,8,6,6,4,0.6168464600934247,0.632556634762736
18,Caquetá,157539.39235874632,153617.57973122044,51.670879097167926,46.314754451059976,1256931.0667875113,1564997.690098144,5613.626485182072,7797.8026091274305,-0.0015743389055260515,0.013794988449365553,0.02075271869233508,0.9992786670343241,12,13,13,10,0.5408923112776843,0.5223970287887248
19,Cauca,455294.25242090295,627653.8564868355,39.95084555598029,38.79690332407056,914694.0625375746,1152411.587682422,5283.573908472169,6854.700061951181,0.020267968493205446,0.014543644880831152,0.01640382755687364,0.9999337079135951,20,18,11,14,0.39829488001713326,0.45921590031141896
20,Cesar,295464.0705555937,515871.15542724985,50.734808431375754,44.59242259757599,1277811.965452238,1379014.268439537,5812.17695409234,7136.505339023326,0.03544559658613422,0.004775097894833102,0.01291189893970457,0.9998358955970452,16,17,21,19,0.47661298138682195,0.4780948392662414
23,Córdoba,475486.5324446113,791370.3113817273,44.501657656989735,39.86186782861398,953145.1535161631,1083436.288609747,4942.660239394419,6272.253974272312,0.03235150632679229,0.008040012040436917,0.015000905851175528,1.0,22,22,18,16,0.374455733689608,0.420196176309056
25,Cundinamarca,851102.2560682287,1706608.0129832893,45.6257005063871,43.971877228199176,1265458.2183892643,1985225.1826550474,6400.533392082625,10418.679328323347,0.04444242012373678,0.028543402555652353,0.030919564157440016,0.9992984687778147,3,3,1,1,0.6861307491039248,0.6979770324844959
27,Chocó,183515.6630472161,137366.38913717508,49.35428583990795,44.167617256392276,1121585.393787425,1217817.226190146,5244.274011093898,6362.913871355486,-0.01794014292486501,0.005158062415234088,0.012157661489211602,1.0,19,21,20,22,0.4209002852563046,0.426269741291466
