,Ocupados,Horas totales,PIB por hora,PIB por trabajador
Ocupados,1.0,0.9885927998041705,-0.6787112391354163,-0.6514960328861622
Horas totales,0.9885927998041705,1.0,-0.6485716374921994,-0.6046045360948763
PIB por hora,-0.6787112391354163,-0.6485716374921994,1.0,0.9931782810584816
PIB por trabajador,-0.6514960328861622,-0.6046045360948763,0.9931782810584816,1.0
