n,alpha,beta,beta_se,t_stat,r2,lambda,vida_media_anios,indicador,lectura
24,-0.1627559321935654,0.012512078442080783,0.009366894068278389,1.3357766566885572,0.0750200481337403,,,Remuneraci?n por trabajador,Divergencia
24,-0.04829153550336513,0.007609850270791713,0.01003124479497772,0.7586147508434535,0.02549207917845242,,,Remuneraci?n por hora,Divergencia
