depto,departamento,ocupados_inicio,ocupados_fin,horas_sem_inicio,horas_sem_fin,rem_trabajador_inicio,rem_trabajador_fin,rem_hora_inicio,rem_hora_fin,crec_ocupados,crec_rem_trabajador,crec_rem_hora,share_ocupados_remuneracion_valida_fin,ranking_rem_trabajador,ranking_rem_hora,ranking_crec_rem_trabajador,ranking_crec_rem_hora,rem_trabajador_rel_lider,rem_hora_rel_lider
5,Antioquia,2310905.774353146,3311770.0767034027,46.47023304954048,44.8259338750056,1864181.3078146,2181376.201858106,9257.446287392951,11229.98373050713,0.03325397675518027,0.014387424422563688,0.017714998871218413,0.9996946459625347,5,4,13,11,0.7539241898275097,0.7523286274643344
8,Atlántico,757054.86887733,1256860.111565948,47.00869792138585,43.9597980067367,1251498.6599517043,1614456.3893099767,6143.700971015187,8475.172224732205,0.04716352859130435,0.02342064930848875,0.029678580169118174,0.9997502091698139,19,20,4,3,0.5579861576767792,0.5677759505595198
11,Bogotá D.C.,3620902.1725722044,4160820.0668823733,47.144901120732825,44.73106681283916,2364893.424053202,2893362.79600895,11575.899478978195,14926.965850491328,0.012715524594556493,0.018504253845385676,0.02338227383125413,0.9996508496484138,1,1,8,8,1.0,1.0
13,Bolívar,655328.3124304536,885761.33413306,44.824477908510985,43.710940975459465,1160506.9604473328,1363169.477568969,5974.621703600907,7196.769612516412,0.02777053414439501,0.014739898485332414,0.017063165989340767,1.0,26,25,12,12,0.47113672694253866,0.48213211476460416
15,Boyacá,511818.69847736997,522604.17780840414,43.2427447369208,40.14901986976799,1280729.1880662532,1562260.2498001559,6834.739361523615,8979.586482488437,0.001897606320116374,0.018228146165516046,0.025122705202556217,0.9999665017641903,22,17,9,6,0.5399462009932208,0.6015680998019347
17,Caldas,417250.13007695647,466839.7189306313,47.31781818192782,43.62012617265772,1458113.7390097345,1784760.5984841345,7111.227838772978,9442.151285605076,0.010261391592257585,0.018546307930200623,0.02610854811614205,0.9998901696812273,16,13,7,5,0.6168464600934247,0.632556634762736
18,Caquetá,188742.1580393684,153617.57973122044,47.332018665681105,46.314754451059976,1347749.6399762502,1564997.690098144,6571.009571420134,7797.8026091274305,-0.0185454742500607,0.013678900729290122,0.01568302531106669,0.9992786670343241,21,22,14,15,0.5408923112776843,0.5223970287887248
19,Cauca,510662.2042522689,627653.8564868355,39.437365030509255,38.79690332407056,1037554.6346820133,1152411.587682422,6071.290126543392,6854.700061951181,0.018929710946608225,0.009590253452603337,0.011094127844481827,0.9999337079135951,29,27,17,20,0.39829488001713326,0.45921590031141896
20,Cesar,375681.4254301906,515871.15542724985,47.83317452444913,44.59242259757599,1272853.4503725495,1379014.268439537,6140.830386958669,7136.505339023326,0.029248252682233522,0.0073091051715952204,0.013754022024593304,0.9998358955970452,25,26,20,16,0.47661298138682195,0.4780948392662414
23,Córdoba,631624.0728066363,791370.3113817273,40.071649749518194,39.86186782861398,1154852.3643335437,1083436.288609747,6650.696775280226,6272.253974272312,0.02070893467498225,-0.005786355449618585,-0.005311828610876201,1.0,31,31,29,30,0.374455733689608,0.420196176309056
25,Cundinamarca,965222.6841272218,1706608.0129832893,45.503374454059966,43.971877228199176,1487501.05451203,1985225.1826550474,7543.824567664194,10418.679328323347,0.05317506730466759,0.02658681293274645,0.029786921523001775,0.9992984687778147,8,6,1,2,0.6861307491039248,0.6979770324844959
27,Chocó,147373.91591592142,137366.38913717508,41.50544345497884,44.167617256392276,1032728.710334211,1217817.226190146,5741.945880800784,6362.913871355486,-0.006372452304060694,0.01509973579671775,0.009379007234035175,1.0,28,30,11,21,0.4209002852563046,0.426269741291466
41,Huila,385504.44524862897,467605.97177084093,44.789317751396474,43.999819249357145,1305350.25025596,1404532.3448039342,6725.59191028532,7366.458643023708,0.017707059642016576,0.006679756258601843,0.00830861223433299,0.9999653404828732,24,24,21,24,0.48543250322473197,0.49350006671189894
44,La Guajira,327326.18814675946,348363.9258438963,44.36253756658363,43.72991394704819,1291612.0884482423,1015443.427396074,6718.829545223297,5358.645318022194,0.005678837107183199,-0.02163220546853828,-0.02035389249475672,1.0,32,33,33,33,0.35095613615988897,0.358990927673745
47,Magdalena,424610.63240295416,594008.2057770757,45.54777358181534,43.69173100813589,1159335.859685849,1226093.97537865,5873.811681756964,6475.933935788256,0.030990560617864427,0.005102627029641482,0.008911203344661667,0.9992410014851516,27,29,24,22,0.42376088372667986,0.4338412776348047
50,Meta,361230.27541229775,524442.8747610816,49.8367484080087,46.76763147524772,1685964.9118231537,1795703.881276685,7806.866182762844,8860.683988045554,0.03447371189833115,0.005749102258436167,0.01157744533484073,0.9995221659422897,15,18,22,19,0.6206286621759446,0.5936024827010574
52,Nariño,619344.9242966219,849082.5809281862,41.207546443304764,37.15201473550702,1015758.7534231069,1102229.1895350565,5688.420845367959,6846.48151685027,0.029096550821100298,0.007454812652929466,0.01698834222882195,0.999942513709612,30,28,19,14,0.38095090980483004,0.4586653165435436
54,Norte de Santander,552809.7225273908,673286.7145479275,46.00101045207522,45.61940945784548,1315080.214851916,1504874.775915164,6597.247464756953,7612.52279608887,0.018084988409954317,0.012331046784125999,0.013097956164091595,0.9999296455576363,23,23,15,17,0.5201127138259191,0.5099846058694038
63,Quindío,362483.14589318994,256407.09811340953,47.37419100247256,42.82034478425123,1295273.9214501982,1707516.2324869868,6309.540282659529,9202.219400202508,-0.030983635452190628,0.025437944213730246,0.03490273166599844,0.9998994255032433,18,15,2,1,0.5901493704288665,0.6164829136994115
66,Risaralda,445497.8159564528,449847.63761151687,48.88982511941321,44.9518557772631,1471723.0249028963,1821781.652712492,6946.811315701493,9352.475962485312,0.0008837173303055668,0.019587652108964404,0.02740127366927636,0.9999058247978169,13,14,5,4,0.6296416250410848,0.6265490291972143
68,Santander,967061.9092605794,1045570.2664773326,46.92691172654979,45.4180536549711,1821072.3213290835,1936101.5685946438,8955.361503801818,9837.336339197896,0.007121163908808459,0.005583798473132395,0.008575888906210194,0.9997015829975002,10,11,23,23,0.669152714365881,0.6590312081992267
70,Sucre,359468.5955626244,403195.9914862028,43.94919179086323,38.748169244439225,1091590.4008121018,1007487.3901417025,5731.743107113398,6000.208385743706,0.010490641068926942,-0.00726224853500268,0.004169989213806291,1.0,33,32,30,25,0.3482063816993194,0.40197106671522304
73,Tolima,510845.0993601897,580409.6244525462,45.4795270284084,44.344418426153204,1328807.7758926211,1577036.976603991,6742.549193428674,8206.931625264,0.011673766491077986,0.015691439940701768,0.018027944104428872,0.9997703084779094,20,21,10,10,0.5450533126296245,0.5498057480310954
76,Valle del Cauca,1598280.4001437454,2011697.4232403866,46.2128189690207,44.01473125744488,1540247.1926073385,1906583.3160043794,7691.4083096886425,9996.216099975829,0.021133910376400333,0.019586611205238302,0.024113664409984636,0.999689835127728,11,9,6,7,0.6589506572194418,0.6696750163494746
81,Arauca,24467.03835557965,36005.800350225145,46.70328635839672,46.86128658470659,2126444.4294138406,1768987.1957005537,10507.13950799144,8711.408587865419,0.03574711742759251,-0.016592093603019054,-0.016893985195803096,1.0,17,19,32,32,0.611394878699851,0.5836020980498645
85,Casanare,58025.18134637739,79768.55404136505,46.8709241836557,46.68944656897989,2121235.4530084245,2091302.0276037292,10443.913413208807,10336.55773801539,0.029354623091359944,-0.0012911501182093499,-0.0009388729753718739,1.0,6,8,27,28,0.7227928797897144,0.6924754730161828
86,Putumayo,15682.09240517457,17158.82863834249,43.66134436966779,44.258087325015865,1833267.4037659331,2371933.193308371,9689.617089648682,12367.6650198661,0.008214773996431335,0.02369504998582439,0.02243249860783547,1.0,2,2,3,9,0.8197842305085871,0.8285451406361335
88,San Andrés y Providencia,19290.593391343842,20327.803399318636,47.26252696910912,46.403900474793275,2017991.9755650784,2256635.607416931,9853.27035526496,11222.376953698975,0.00477244167807811,0.01021289829451888,0.011898072077715982,1.0,3,5,16,18,0.7799352402435297,0.7518190277985787
91,Amazonas,11100.542801846786,16521.648267293047,45.723342517831725,45.71974828721659,2000916.9219004558,1817118.6639134295,10098.781792254722,9171.858813688223,0.03681395129355236,-0.008721151970527474,-0.008714067787974455,0.9976629215180527,14,16,31,31,0.6280300093786817,0.614448971448965
94,Guainía,6496.575731561519,9040.858464741084,45.04516889098742,45.666006164323825,1999413.446496878,2059593.0085807599,10243.120725207404,10407.97595869429,0.030499397665235906,0.0026995038288495365,0.0014525175029080906,1.0,7,7,25,26,0.7118336530150051,0.6972599832370961
95,Guaviare,14987.864333672549,22748.352130373063,48.58826992627094,44.37008717440463,1699778.0500541474,1868304.4001513,8073.069357782,9717.068338653085,0.03866059019853596,0.008630997562967258,0.01699278138692306,0.9986847523785797,12,12,18,13,0.6457207518975511,0.6509741119514415
97,Vaupés,2743.4991708854354,5263.272343093303,45.680688295633374,43.84212019499349,2341210.543735164,2249148.1436048457,11827.303317980472,11838.71091720159,0.06101816452528985,-0.003640319756957222,8.764466970645479e-05,1.0,4,3,28,27,0.7773474334802667,0.7931089972187424
99,Vichada,6063.055784236426,7501.355003204034,44.01944684419093,45.91968253272538,1998544.416981866,1977525.479185081,10477.245645487,9938.048533607986,0.019540254561210224,-0.0009607035886919357,-0.004791678327679572,1.0,9,10,26,29,0.6834695883671561,0.6657782052392697
