codigo,actividad_corta,dane_groups,pib_2010_billones,pib_2025_billones,var_pib,ocupados_2010_millones,ocupados_2025_millones,var_ocupados
"001,002,004-008,013","Cultivos, apoyo agropecuario y mixtos","001,002,004-008,013",22.863,37.24413925969323,0.6290136578617516,1.5534433551027695,1.815701944599347,0.1688240441050568
003,Café,003,3.415,5.000923511497827,0.4643992713024385,0.4749461358959258,0.5360977306600623,0.12875480005491924
009-012,Ganadería,009-012,10.902,17.320411265089817,0.5887370450458465,0.7738115606762551,0.6400434666479857,-0.17286908186195327
"014,015",Silvicultura,"014,015",1.423,2.1380746483326276,0.5025120508310805,0.04304943337330715,0.03046753767752683,-0.29226623232587623
016,Pesca y acuicultura,016,1.354,2.5980392331286484,0.9187882076282483,0.11113578197173007,0.1056474874261046,-0.04938368586835118
017,Carbón,017,7.720999999999999,5.720123858936617,-0.2591472789876159,0.03008117114210483,0.05528982198858535,0.8380209243647361
"018,021","Petróleo, gas y apoyo conexo","018,021",25.402999999999995,24.562529838366398,-0.03308546870974283,0.044528439684593885,0.04263757292406616,-0.04246424922861003
019,Minerales metalíferos,019,4.203000000000001,2.9544347977393164,-0.29706523965279197,0.08815510926309875,0.16826876102445892,0.9087805849376369
020,Otras minas y canteras,020,1.492,1.494340019948779,0.0015683779817554644,0.028604558003462666,0.0327733589126662,0.14573904301191765
"023-025|026|027|028,032,035|029|030,031|033|034|036","Carnes, aves y pescado; Aceites y grasas; Lácteos; Molinería, panadería y alimentos; Productos de café; Azúcar y panela; Cacao y confitería; Frutas, hortalizas y otros alimentos; Bebidas y tabaco","023-025; 026; 027; 028,032,035; 029; 030,031; 033; 034; 036",23.952,33.54384650104266,0.400461193263304,0.5978903662379812,0.6586972624801123,0.10170241849645034
"037,038",Textiles y confecciones,"037,038",7.967,10.607965725792193,0.3314881041536579,0.4813899335993708,0.49805116874437017,0.03461068456588334
039,"Cuero, calzado y artículos de viaje",039,1.676,1.1849977163851964,-0.2929607897463029,0.13365241144631937,0.1828688716093106,0.3682422159869423
040,Madera,040,1.052,1.0115700594317696,-0.03843150244128368,0.05382927268261071,0.054824881653493765,0.01849567941876873
041,Papel y cartón,041,2.769,3.60263545379592,0.3010601133246371,0.035843175242087695,0.04042432980803852,0.12781106961114186
042,Impresión y reproducción,042,1.578,1.8796293993284645,0.19114664089256306,0.05375330362698627,0.041980983995312124,-0.21900643936913267
"043,044",Coquización y refinación,"043,044",8.555,11.380767730722491,0.33030598839538183,0.0035034287446372436,0.005410799715745583,0.5444297886828677
045-047,Químicos y farmacéuticos,045-047,10.24,13.992974262618619,0.3665013928338494,0.10486120505733425,0.16211162088118236,0.5459637412381986
048,Caucho y plástico,048,2.476,3.0731977001390605,0.24119454771367543,0.0720288202673614,0.10840705044027209,0.5050510342648891
049,Minerales no metálicos,049,9.722,10.92050939766307,0.1232780701155185,0.0779906339133927,0.09588441569351344,0.22943500882415568
"050,051",Metalurgia y productos metálicos,"050,051",5.32,6.32203412826802,0.18835227974962776,0.16903266473389073,0.20759758543399404,0.2281506995160747
052,Equipo eléctrico y electrónico,052,1.653,2.8607531984501176,0.7306431932547595,0.04239922673117084,0.05104724259419475,0.20396635810968955
"053,057",Maquinaria e instalación,"053,057",4.118,4.018355967096478,-0.02419719108876206,0.03704333270258489,0.10560302900207087,1.8507971960822487
054,Vehículos y equipo de transporte,054,2.0819999999999994,2.2369250351732886,0.07441164033299197,0.04292003026238436,0.03583197099670325,-0.16514571919799348
055,Muebles y colchones,055,1.912,2.409689803018235,0.26029801413087617,0.13858751861309127,0.17694024914374737,0.27674014885661724
056,Otras manufactureras,056,3.0919999999999996,3.608110343975464,0.16691796376955503,0.09424631630015258,0.08762592779851877,-0.07024559432699107
058-060,Energía eléctrica,058-060,12.705,18.54986127440577,0.4600441774424062,0.04189184797885692,0.06210099594068584,0.4824124247760233
061,"Gas, vapor y aire acondicionado",061,2.145,3.3058298083149955,0.5411793978158488,0.013774342028678124,0.021337284494018574,0.5490601619732132
062,Agua,062,2.073,2.4271334978250003,0.17083140271345898,0.03392044403142028,0.06459380032405485,0.9042734306255558
"063,064,066","Aguas residuales, desechos y saneamiento","063,064,066",3.8279999999999994,4.417444723164031,0.15398242506897364,0.03223279063850959,0.0603063417859694,0.8709624761412809
065,Reciclaje,065,1.131,1.4392379605138546,0.2725357741059722,0.002447677726194799,0.09629869926508464,38.342883352046606
067,Edificaciones,067,22.035,20.466390757447634,-0.07118716780360179,0.6470555075236512,1.0280010358434257,0.5887370154342597
068,Obras civiles,068,9.751,11.939425353011725,0.2244308638100425,0.1171378138441624,0.21244230855047225,0.8136099827942911
069,Actividades especializadas de construcción,069,8.542,9.082220023194926,0.06324280299636231,0.19428274607351254,0.33994172464932637,0.7497267849029656
070|071,Comercio; Reparación de vehículos,070; 071,51.166,89.07313885503241,0.7408657869489976,3.3681929896937657,3.902758903545778,0.15871000132347368
"072,074",Transporte terrestre y tuberías,"072,074",24.131,31.81156414769242,0.3182861940115378,0.8769417311406662,1.3007239382313887,0.48325013172710496
073,Transporte acuático,073,0.231,0.20710213733070768,-0.10345395094931742,0.014344189486882012,0.018844657351922502,0.3137484951071121
075,Transporte aéreo,075,2.884,7.6847413033538245,1.6646121024111737,0.015741067109844555,0.02686310967711565,0.7065621720344046
076,Almacenamiento y apoyo al transporte,076,4.917000000000001,9.521505769207131,0.9364461600990706,0.2012260053266966,0.25582717918089654,0.27134253232107475
077,Correo y mensajería,077,0.741,1.2245683968636212,0.6525889296405145,0.06636044698788104,0.19024915329679995,1.866905844253036
078-080,Alojamiento y comida,078-080,23.796,40.636968158629095,0.7077226491271262,0.8633264591965569,1.7338397050460201,1.0083245295870982
081-084,Información y comunicaciones,081-084,18.256,31.286882674260237,0.7137862989844566,0.40266202835911996,0.3980526886598733,-0.011447167536581704
085-088,Financieras y seguros,085-088,22.312,53.11234172668485,1.3804384065384032,0.22083495304202078,0.4265539778314568,0.9315510156143243
089,Inmobiliarias,089,59.932,90.07380494244305,0.5029334069018729,0.2140472855106472,0.316513852209824,0.47870995632915814
090-093,"Profesionales, científicas y técnicas",090-093,21.757,31.19124967170415,0.4336190500392585,0.28695348487630706,0.5706437187215897,0.9886279442383108
094-097,Servicios administrativos y de apoyo,094-097,23.6,38.84395535022218,0.6459303114500923,0.5145249857557886,1.0802402302210108,1.0994903262749034
"098,099",Administración pública y defensa,"098,099",31.284,62.72372487733989,1.0049777802499644,0.49884721863817183,0.8122684920920301,0.6282911114739356
100|101,Educación de mercado; Educación de no mercado,100; 101,31.079,52.82731031154428,0.6997750993128569,0.7473729246987799,1.0075592241345608,0.3481344999762279
"102,103",Salud y servicios sociales,"102,103",23.573,49.78863414168853,1.1121042778470511,0.7100526035476815,1.0133705095546737,0.42717666901227513
104-108,"Artes, entretenimiento y otros servicios",104-108,10.994,40.570915803534106,2.690277951931427,0.7965250974504131,1.235100196529484,0.5506105212288983
109,Hogares como empleadores,109,4.276,6.72433785508047,0.572576673311616,0.6723325600844939,0.7159043419566725,0.06480688941600987
