depto,departamento,pib_inicio,pib_fin,ocupados_inicio,ocupados_fin,horas_sem_inicio,horas_sem_fin,pib_trabajador_inicio,pib_trabajador_fin,pib_hora_inicio,pib_hora_fin,crec_pib,crec_ocupados,crec_pib_trabajador,crec_pib_hora,ranking_pib_trabajador,ranking_pib_hora,ranking_crec_pib_trabajador,ranking_crec_pib_hora,pib_hora_rel_lider,rem_trabajador_inicio,rem_hora_inicio,rem_total_mensual_inicio,ocupados_rem_inicio,horas_mensuales_inicio,rem_trabajador_fin,rem_hora_fin,rem_total_mensual_fin,ocupados_rem_fin,horas_mensuales_fin,crec_rem_trabajador,crec_rem_hora,rem_predicha_trabajador,residuo_trabajador,residuo_pct_trabajador,rem_predicha_hora,residuo_hora,residuo_pct_hora
5,Antioquia,85660.0106905345,149162.56286814398,2052984.8756921368,3130339.2561002993,45.74927149385575,45.05931540430055,41.7246184834437,47.6506061052204,17.5390007992752,20.336700668743802,0.03766885256985675,0.028522295685236898,0.00889291065734854,0.009915512812683769,5,6,11,15,0.7122525135726834,1621089.6489894825,8177.127177981566,3328072531516.4824,2052984.8756921368,406997770.62021685,2119954.4145927005,10857.249941145361,6636176525142.659,3130339.2561002993,611220756.7400434,0.018047322355428497,0.019079203316308302,1787064.5289701857,332889.8856225149,0.18627748479476905,9147.784919087831,1709.4650220575295,0.18687201734384332
8,Atlántico,26735.527670363914,45132.440414469056,750421.8888382016,1209186.9753406516,48.62887340451834,44.97777455488898,35.62732919712095,37.32461673411125,14.089179907565372,15.958572831669366,0.03552360652953701,0.03231569709257931,0.003107488771111999,0.008340526397250692,11,11,17,18,0.558917289364389,1243572.3591452816,5901.395953359054,933203918656.7808,750421.8888382016,158132741.1399339,1582370.1463129995,8118.728529158714,1913381371089.5603,1209186.9753406516,235675003.07684636,0.016192069639514584,0.021493367252517492,1524238.973359021,58131.17295397865,0.03813783400766408,7896.252984222907,222.4755449358072,0.028174824866974757
11,Bogotá D.C.,161609.20423553154,267051.3678142882,2894592.734262623,3964950.027902832,48.646978793915885,45.36357146885013,55.83141362948952,67.35302234200888,22.070867666516186,28.552655527650163,0.03405089377096848,0.021198143719387774,0.012585951248176741,0.01731427817350184,1,1,9,8,1.0,2180701.7659916873,10344.709610989103,6312243487433.208,2894592.734262623,610190495.8963529,2947148.4144355017,14992.452105078448,11685296188049.828,3964950.027902832,779411940.4984876,0.02028236951725093,0.025046635299603937,2288546.5960353143,658601.8184001874,0.28778169495921624,11496.398359347946,3496.0537457305018,0.30409991342095344
13,Bolívar,22106.628084404685,35907.28967549529,562658.6924622254,796377.3261698836,49.993227938075115,43.86524406956144,39.2895877741884,45.088287292392764,15.113426894405908,19.766958245019953,0.03286606308364459,0.023430267592940313,0.009219773725177127,0.01805629351497795,7,7,10,6,0.6922984177733588,1137406.1239379232,5250.2778299990905,639971442493.4398,562658.6924622254,121892871.80894782,1330554.9499651527,6999.873107117091,1059623793375.3516,796377.3261698836,151377571.7302623,0.010511243752257649,0.019359071386741533,1721846.2877507464,-391291.3377855937,-0.22725102732412827,8984.918309323824,-1985.045202206733,-0.2209308013570711
15,Boyacá,16725.606538892807,25177.13652572238,390103.80984147574,529805.9535491505,42.071214553143065,40.43534088736809,42.87475824880946,47.52142998216927,19.59806937986952,22.600864329271605,0.02764149103699598,0.020616165522049812,0.006883415873931931,0.00954911056216945,6,5,14,17,0.7915503448491895,1137605.999601023,6240.001964164288,443784434542.8794,390103.80984147574,71119278.02130342,1487851.043294151,8491.340328169474,788272340731.5562,529805.9535491505,92832498.78897369,0.018054837757066844,0.020750108461260464,1783776.6322764703,-295925.5889823192,-0.16589834378795318,9795.018904106582,-1303.6785759371087,-0.13309607553595826
17,Caldas,10424.105841816947,15746.930873762623,310877.6970847659,429957.62929398025,49.33129136360557,45.25473484902362,33.531211597256025,36.624378312858774,13.071439535244988,15.5633431486158,0.02788329313822735,0.02185452611404126,0.005899829056013051,0.011700500828605742,12,12,15,13,0.545075155392968,1317617.6345536788,6163.747178900163,409617935868.3243,310877.6970847659,66455992.43111964,1852688.968967749,9447.488967721816,796577756916.4819,429957.62929398025,84316346.87672676,0.022980937755663122,0.028880110295644856,1506415.9304028768,346273.03856487223,0.2298654917120166,7783.272598917709,1664.2163688041073,0.21381961734650312
18,Caquetá,2543.6996539814345,3896.2083901751707,157539.39235874632,156651.94694931235,51.670879097167926,45.74563210794312,16.146435605064163,24.871752097890372,6.009349607475201,10.455706980522395,0.02883348298510713,-0.00037653517472480136,0.029221020902042927,0.037612182690545115,18,20,2,2,0.3661903520811636,1256931.0667875113,5613.626485182072,198016156498.5353,157539.39235874632,35274195.214310355,1473931.8518630723,7435.42288055188,230894294264.9557,156651.94694931235,31053283.447923813,0.010673928933178534,0.01891387767195063,1207278.4430564588,266653.4088066134,0.2208715067681725,6323.203360667339,1112.2195198845402,0.1758949469825621
19,Cauca,9839.773150700252,17418.488066932117,455294.25242090295,653618.4184819818,39.95084555598029,37.424753781581735,21.611898455515185,26.649322562522446,10.403119785148498,13.693796767433026,0.038807375894693186,0.024398202146101777,0.014065988907833171,0.01849136647150562,17,16,6,5,0.4795980098653893,914694.0625375746,5283.573908472169,416454949396.88367,455294.25242090295,78820691.564303,1060471.2353647884,6539.097963510637,693143531704.7666,653618.4184819818,105999869.6414451,0.00990735598650816,0.014314585302406924,1252522.6253051898,-192051.3899404013,-0.1533316732650686,7248.843937436481,-709.7459739258438,-0.0979116090857437
20,Cesar,11134.524450427596,15193.05583498387,295464.0705555937,466649.8886965541,50.734808431375754,45.24457642006785,37.68486784024237,32.55771875874887,14.284256102158821,13.838343193154088,0.020935324462471483,0.03093772653651783,-0.009702236921380059,-0.002112081565352586,14,15,24,22,0.48466046108226774,1277811.965452238,5812.17695409234,377547524717.1619,295464.0705555937,64958023.07796765,1260816.0306821216,6430.771786670463,588359660384.6432,466649.8886965541,91491298.3857054,-0.000892272255822224,0.006765407235860055,1402907.9740824085,-142091.94340028684,-0.10128386610192593,7290.163988972796,-859.3922023023324,-0.11788379570092813
23,Córdoba,11377.390547613604,17032.132414305022,475486.5324446113,774002.029012392,44.501657656989735,39.703648401760894,23.92789231930336,22.005281350538073,10.340104157871611,10.658428243878445,0.027263263218127998,0.03301570752743155,-0.0055685932627997925,0.0020234458260004473,22,19,21,20,0.37329026134038246,953145.1535161631,4942.660239394419,453207683961.7871,475486.5324446113,91693068.51189001,1044763.9808297885,6072.474190578331,808649441001.3202,774002.029012392,133166385.82934938,0.006137362166338978,0.013818770990032592,1134318.6771938396,-89554.69636405108,-0.07895020875932153,6381.153275427205,-308.6790848488736,-0.048373557494308606
