depto,departamento,pib_2014,pib_2024,ocupados_2014,ocupados_2024,horas_2014,horas_2024,horas_sem_2014,horas_sem_2024,pib_trabajador_2014,pib_trabajador_2024,pib_hora_2014,pib_hora_2024,crec_pib,crec_ocupados,crec_horas,crec_horas_por_trabajador,crec_pib_trabajador,crec_pib_hora
63,Quindío,6103.736923208317,7970.451714641012,362483.14589318994,235888.77959825317,891714614.1819925,528892203.537304,47.30801461895083,43.117794460174665,16.8386778595407,33.78902433687455,6844.9443646356885,15070.08736626014,0.027043203165997953,-0.04205197468466004,-0.0508952911816426,-0.009231520148571204,0.07212831596778235,0.08211790925015494
86,Putumayo,3780.4926430609175,3446.076292775432,15682.09240517457,7779.771808025781,35522598.54372179,17048773.084227096,43.56095331042455,42.14275546132247,241.0706776484419,442.9533896123258,106425.0026193277,202130.45688100666,-0.00921904685155106,-0.06769871027951302,-0.07077937622523789,-0.00330436735387174,0.06272614236701823,0.06624942214865093
66,Risaralda,12366.56066412632,16348.008932040064,445497.8159564528,422915.4710528113,1132121205.5504417,997381716.1544696,48.87018716008467,45.352839825431786,27.75897035000312,38.655499859920276,10923.353969077587,16390.925026249595,0.028304161565897212,-0.005188494759557072,-0.01259153123749035,-0.0074416474266086885,0.033667339138140795,0.041417198755284046
18,Caquetá,3323.447940373748,3896.2083901751707,188742.1580393684,156651.94694931235,464360428.2722339,372135657.51561314,47.313267628008425,45.683791945075114,17.60840278026562,24.871752097890372,7157.043834978458,10469.860416457683,0.016027188599481823,-0.01846297141110531,-0.021896961073753607,-0.0034985839174964672,0.035138929053111445,0.03877316413909537
17,Caldas,12106.336467296247,15746.930873762623,417250.13007695647,429957.62929398025,1026460723.2415892,1011662287.7422543,47.30886312597856,45.248747014885765,29.014578054327714,36.624378312858774,11794.252028527819,15565.402669012547,0.026640323501335494,0.003004584043321934,-0.0014511347385369744,-0.004442371303924553,0.023564936625446897,0.028132281971515516
70,Sucre,6468.790898497221,8123.3195009249675,359468.5955626244,369316.4532408935,821495462.0809551,783766114.8816102,43.948177533218626,40.811681022923565,17.995427078609065,21.995552674785333,7874.408559860975,10364.468872390606,0.023036296024496528,0.002706361191726181,-0.004690540945316957,-0.007376937479734114,0.020275063188596842,0.02785750373170126
88,San Andrés y Providencia,1198.6327544902226,1531.4890568553647,19290.593391343842,18590.07950296974,47372076.31230176,46004454.06920561,47.22516560600221,47.58995461267854,62.135608281914145,82.38206063673431,25302.5167524472,33290.01697425881,0.024808633968738336,-0.00369211827526017,-0.002925186119477674,0.0007697742533709917,0.028606370346744514,0.02781518468035382
11,Bogotá D.C.,198995.5951380746,267051.3678142882,3620902.1725722044,3964950.027902832,8863749252.910646,9347338607.201952,47.075758548052505,45.33638770020984,54.957462437244686,67.35302234200888,22450.499157873754,28569.77574435252,0.02985275315678182,0.009118324725127636,0.005326316705757561,-0.0037577436921514273,0.0205470735429385,0.024396493002781572
15,Boyacá,20986.058056684422,25177.13652572238,511818.69847736997,529805.9535491505,1149761556.5183578,1113969383.053861,43.200452092885385,40.434593065900295,41.002913959800004,47.52142998216927,18252.530655341445,22601.28232312921,0.018374571294451192,0.003460007688359523,-0.0031574967276177812,-0.006594686749123113,0.01486313703766795,0.02160027080645599
73,Tolima,17182.19853385976,20323.273624119254,510845.0993601897,507517.6378363845,1206918877.3573046,1199977431.5896373,45.43447405052303,45.46933416424627,33.634850476944344,40.044467638129944,14236.415434550388,16936.379876075298,0.01693101553925791,-0.0006532812401135457,-0.0005766316945208239,7.669965203649376e-05,0.017595791780046444,0.017517748522793752
76,Valle del Cauca,75900.94881265119,99509.13857737575,1598280.4001437454,1825807.5991241753,3839137709.547943,4243375618.4175014,46.19312814623792,44.69440116056265,47.48913194820186,54.50143740507459,19770.311605099596,23450.466686351487,0.02745208118011644,0.01339837524190024,0.010061409241078456,-0.0032928471984428054,0.013867898628574071,0.017217440226832137
68,Santander,52134.65967115733,62587.81913762057,967061.9092605794,1009902.5625092613,2357818684.4763026,2395050886.4126363,46.88703647094208,45.60704428564941,53.910364136893534,61.97411657428744,22111.394745663834,26132.14587326204,0.018442062185202168,0.0043440699377963465,0.0015679852244168124,-0.002764077367979567,0.014037014474809428,0.016847660078715965
27,Chocó,3471.6562487517144,3769.7102564905877,147373.91591592142,131819.79348657696,317946163.25457114,316011225.9520717,41.488680377099065,46.10186983213254,23.556789050325133,28.597452300473012,10919.006580280859,11929.039055917356,0.008270650235177035,-0.011091749258482886,-0.0006102469620726803,0.010599064461794816,0.019579571187864353,0.00888632004706258
13,Bolívar,27792.85110444693,35907.28967549529,655328.3124304536,796377.3261698836,1526146539.7639546,1816426753.831171,44.785142594693305,43.862730115034644,42.41057585528389,45.088287292392764,18211.128735216727,19768.091171174587,0.025947062773217677,0.019684917432291282,0.017565011057155244,-0.0020789817902518992,0.0061412552386233,0.008237362355211442
54,Norte de Santander,12253.405829289468,15628.732391989028,552809.7225273908,642195.3250474753,1321791604.0495226,1558661830.664003,45.981588732613496,46.674687287846346,22.16568437557162,24.336415701614847,9270.300849051526,10027.019385809337,0.024629118493009416,0.01510074547684126,0.01662056601072548,0.0014972115237392725,0.009386627936808445,0.007877621946710933
