"anio","formal_worker","tamano_empresa","workers","mean_income","worker_share","year","formality_status","formality_status_es"
2008,0,"Solo",2615651.27927606,5005.48402105084,0.511001050298029,"2008","Informal workers","Trabajadores informales"
2008,0,"2-3",1350693.90306247,5809.83128561261,0.263875390639649,"2008","Informal workers","Trabajadores informales"
2008,0,"4-5",452000.124000029,6277.52439524956,0.0883040258190616,"2008","Informal workers","Trabajadores informales"
2008,0,"6-10",278089.966245902,6283.34164010226,0.0543284442979457,"2008","Informal workers","Trabajadores informales"
2008,0,"11-19",115982.114839022,7022.28744910525,0.0226585948089114,"2008","Informal workers","Trabajadores informales"
2008,0,"20-30",85659.3311743838,6717.15143393654,0.0167346498154187,"2008","Informal workers","Trabajadores informales"
2008,0,"31-50",44437.8008882448,10027.1377329073,0.00868149477980593,"2008","Informal workers","Trabajadores informales"
2008,0,"51-100",36705.4075900839,7021.30540208725,0.00717087250076449,"2008","Informal workers","Trabajadores informales"
2008,0,"101+",139460.900977956,9054.60359124139,0.027245477040414,"2008","Informal workers","Trabajadores informales"
2008,1,"Solo",148423.490229076,12132.1350615725,0.0586567526952126,"2008","Formal workers","Trabajadores formales"
2008,1,"2-3",151410.034219042,10095.9885039497,0.0598370306415298,"2008","Formal workers","Trabajadores formales"
2008,1,"4-5",106369.071547005,11099.0301884935,0.0420369061158877,"2008","Formal workers","Trabajadores formales"
2008,1,"6-10",169913.153261661,9603.66039154768,0.0671494370274586,"2008","Formal workers","Trabajadores formales"
2008,1,"11-19",142899.780909223,10023.7267907601,0.0564737906112809,"2008","Formal workers","Trabajadores formales"
2008,1,"20-30",164116.446930338,10047.4515145817,0.0648585869120331,"2008","Formal workers","Trabajadores formales"
2008,1,"31-50",152574.069100882,10539.1665457411,0.060297055574829,"2008","Formal workers","Trabajadores formales"
2008,1,"51-100",195202.793572634,11370.4593975638,0.0771438669871784,"2008","Formal workers","Trabajadores formales"
2008,1,"101+",1299464.61953673,13360.8115381734,0.51354657343459,"2008","Formal workers","Trabajadores formales"
2025,0,"Solo",7178682.52805284,5677.46056154398,0.576264152606916,"2025","Informal workers","Trabajadores informales"
2025,0,"2-3",2703075.59812643,6440.65377428875,0.216987666316157,"2025","Informal workers","Trabajadores informales"
2025,0,"4-5",1201074.65532483,7032.81204222502,0.0964155004436648,"2025","Informal workers","Trabajadores informales"
2025,0,"6-10",697795.818002036,7316.302663752,0.0560151133835785,"2025","Informal workers","Trabajadores informales"
2025,0,"11-19",311073.552773504,9110.64508255484,0.0249712306662027,"2025","Informal workers","Trabajadores informales"
2025,0,"20-30",139016.641498612,8066.46369489474,0.0111594720616773,"2025","Informal workers","Trabajadores informales"
2025,0,"31-50",65173.0387822906,7676.23306977366,0.00523172404127494,"2025","Informal workers","Trabajadores informales"
2025,0,"51-100",45038.2176826648,9961.98971446007,0.00361541414408619,"2025","Informal workers","Trabajadores informales"
2025,0,"101+",116347.563812369,12812.7195840565,0.00933972633644238,"2025","Informal workers","Trabajadores informales"
2025,1,"Solo",650085.348708212,15989.6599232842,0.0641366061481498,"2025","Formal workers","Trabajadores formales"
2025,1,"2-3",405074.703971336,12590.9208124247,0.0399641628607893,"2025","Formal workers","Trabajadores formales"
2025,1,"4-5",382593.556988813,12036.4725051044,0.0377462010614011,"2025","Formal workers","Trabajadores formales"
2025,1,"6-10",608209.195118414,12355.1661890266,0.0600051572928183,"2025","Formal workers","Trabajadores formales"
2025,1,"11-19",562860.935325328,13028.8055897551,0.0555311547889431,"2025","Formal workers","Trabajadores formales"
2025,1,"20-30",601578.843500451,11924.8204572743,0.0593510151079651,"2025","Formal workers","Trabajadores formales"
2025,1,"31-50",613978.540310562,13093.8772178915,0.0605743536622748,"2025","Formal workers","Trabajadores formales"
2025,1,"51-100",743327.941980325,13413.9110018844,0.0733358035963142,"2025","Formal workers","Trabajadores formales"
2025,1,"101+",5568239.61848084,16943.9325708686,0.549355545481344,"2025","Formal workers","Trabajadores formales"
