depto,departamento,pib_inicio,pib_fin,ocupados_inicio,ocupados_fin,horas_sem_inicio,horas_sem_fin,pib_trabajador_inicio,pib_trabajador_fin,pib_hora_inicio,pib_hora_fin,crec_pib,crec_ocupados,crec_pib_trabajador,crec_pib_hora,ranking_pib_trabajador,ranking_pib_hora,ranking_crec_pib_trabajador,ranking_crec_pib_hora,pib_hora_rel_lider,rem_trabajador_inicio,rem_hora_inicio,rem_total_mensual_inicio,ocupados_rem_inicio,horas_mensuales_inicio,rem_trabajador_fin,rem_hora_fin,rem_total_mensual_fin,ocupados_rem_fin,horas_mensuales_fin,crec_rem_trabajador,crec_rem_hora,rem_predicha_trabajador,residuo_trabajador,residuo_pct_trabajador,rem_predicha_hora,residuo_hora,residuo_pct_hora
70,Sucre,6468.790898497221,8123.3195009249675,359468.5955626244,369316.4532408935,43.94919179086323,40.811681022923565,17.995427078609065,21.995552674785333,7.874226834583374,10.364468872390605,0.023036296024496528,0.002706361191726181,0.020275063188596842,0.027859875847139337,32,30,8,7,0.05127613637410478,1091590.4008121018,5731.743107113398,392392468309.5685,359468.5955626244,68459535.07975411,1009875.7547591535,5710.332073000496,372963731961.6209,369316.4532408935,65313842.90680086,-0.007750648409491245,-0.00037418130379363035,1540772.2702985532,-530896.5155393997,-0.34456520653537503,8061.236754993093,-2350.904681992597,-0.2916307699977249
73,Tolima,17182.19853385976,20323.273624119254,510845.0993601897,507517.6378363845,45.4795270284084,45.489649902621075,33.634850476944344,40.044467638129944,14.222312541410382,16.92881606621272,0.01693101553925791,-0.0006532812401135457,0.017595791780046444,0.017573144813320063,16,18,10,10,0.08375193094318606,1328807.7758926211,6742.549193428674,678814940306.4587,510845.0993601897,100676305.18262078,1495239.630319191,7585.358428633386,758860485178.9446,507517.6378363845,100042798.54652359,0.01187033488489564,0.011847815340307655,1568823.9517897856,-73584.32147059473,-0.04690412929165595,8173.38090362606,-588.0224749926738,-0.07194360350094561
76,Valle del Cauca,75900.94881265119,99509.13857737576,1598280.4001437454,1825807.5991241753,46.2128189690207,44.717599681131645,47.48913194820186,54.5014374050746,19.761887671852044,23.438301092991047,0.02745208118011666,0.01339837524190024,0.013867898628574071,0.017208007404161174,10,10,13,11,0.11595630591578326,1540247.1926073385,7691.4083096886425,2461746899320.7373,1598280.4001437454,320064518.77216643,1794627.4620089084,9261.337859775129,3276644457732.797,1825807.5991241753,353798177.6870794,0.015402874074271544,0.01874803970683514,1591293.0205429113,203334.44146599714,0.1277793837093713,8284.587796682255,976.7500630928735,0.11789965741977343
81,Arauca,4309.532798854145,4959.993820668658,24467.03835557965,28966.777300403457,46.70328635839672,49.31920710657472,176.13626693282907,171.23043303127733,72.52671421366517,66.76694813429401,0.014156770870772606,0.017025583342861195,-0.0028207869291342336,-0.008240538693740307,2,3,22,25,0.3303161194238008,2126444.4294138406,10507.13950799144,52027797415.47713,24467.03835557965,4951661.427537554,1313035.2535797067,6143.816034728524,38034399778.02214,28966.777300403457,6190680.118517377,-0.047067289437572435,-0.05224655778966403,1772713.599716105,-459678.3461363984,-0.2593077337535034,9024.806753784074,-2880.9907190555505,-0.3192301838316438
85,Casanare,13429.612168509564,13130.556138201273,58025.18134637739,79471.39571872605,46.8709241836557,46.88652111927133,231.44455315602386,165.2236760088421,94.95986838283956,67.76741607044625,-0.0022494749710975093,0.03195184868157841,-0.033142363857743384,-0.03317453146967286,3,2,33,33,0.33526573439815965,2121235.4530084245,10443.913413208807,123085071839.17882,58025.18134637739,11785340.127725353,2125207.787052545,10459.990516151072,168893229029.3709,79471.39571872605,16146594.852890745,0.00018710749648498393,0.0001538310041369062,1763377.8786973744,361829.90835517086,0.20519136183247255,9041.898571389329,1418.0919447617434,0.15683563950262794
86,Putumayo,3780.4926430609175,3446.076292775432,15682.09240517457,7779.771808025781,43.66134436966779,42.14275546132247,241.0706776484419,442.9533896123258,106.18029831859754,202.13045688100667,-0.00921904685155106,-0.06769871027951302,0.06272614236701823,0.06649489671256603,1,1,2,2,1.0,1833267.4037659331,9689.617089648682,28749468829.251842,15682.09240517457,2967038.6934035406,1897373.2772387036,10389.813548673208,14761131131.56315,7779.771808025781,1420731.090352258,0.003442973729881116,0.00700149169324904,2195026.2898333548,-297653.0125946512,-0.13560339298589852,11337.333041037415,-947.5194923642066,-0.08357516612897388
88,San Andrés y Providencia,1198.6327544902226,1531.4890568553647,19290.593391343842,18590.07950296974,47.26252696910912,47.58995461267855,62.135608281914145,82.38206063673431,25.282514933320506,33.29001697425881,0.024808633968738336,-0.00369211827526017,0.028606370346744514,0.027896469545531488,5,5,5,6,0.16469569944056725,2017991.9755650784,9853.27035526496,38928262667.620605,19290.593391343842,3950796.158436861,1971909.2954173198,9562.017760969207,36657950574.45302,18590.07950296974,3833704.5057671345,-0.00230740250578787,-0.0029959679227865577,1634625.1745399758,337284.1208773439,0.20633728522642145,8452.89277164129,1109.1249893279164,0.13121247592882437
91,Amazonas,562.6006944249419,723.4015869922182,11100.542801846786,14405.725199169787,45.723342517831725,44.45760422073911,50.68226882845248,50.2162561752815,21.316442811495453,21.72175606551329,0.02545809868404514,0.02640578475122446,-0.0009233054618931202,0.001885335421484946,11,12,20,21,0.10746404278055333,2000916.9219004558,10098.781792254722,22211263934.495533,11100.542801846786,2199400.3228716655,1606419.7320401417,8338.556527130248,23141641214.294247,14405.725199169787,2775257.460808813,-0.02172040002579423,-0.018970224694027205,1584632.9781395595,21786.753900582204,0.013748769715849894,8255.262644460292,83.29388266995556,0.010089791961476849
94,Guainía,291.88383692139314,340.66665968126017,6496.575731561519,8785.140523281752,45.04516889098742,43.890743652278886,44.92887468445409,38.777599376862526,19.1811206867904,16.990440418316872,0.015574899629384742,0.03063864004678285,-0.014615928252713739,-0.012054321495012732,18,17,27,28,0.08405680509750726,1999413.446496878,10243.120725207404,12989340873.869394,6496.575731561519,1268103.8545122081,1853201.735417457,9743.784300640007,16280637663.63197,8785.140523281752,1670874.1861786286,-0.007565144131087886,-0.004985208138349684,1566854.9810772194,286346.7543402377,0.1827525570639429,8174.433683178653,1569.350617461354,0.19198279395070061
95,Guaviare,647.2151446967969,810.5084162106315,14987.864333672549,20755.49725219247,48.58826992627094,44.08560296929089,43.18261296525938,39.05030105337587,17.09126227331513,17.034298668266917,0.022753291318734936,0.03309280979841733,-0.010008315208098417,-0.0003337917318024797,17,16,25,23,0.08427378501546126,1699778.0500541474,8073.069357782,25476042811.56603,14987.864333672549,3155682.3907388467,1736268.5035340975,9088.621227399579,36037116154.17029,20755.49725219247,3965080.6489249156,0.0021263162575744232,0.011919423332898749,1567278.8148969926,168989.68863710482,0.10782362846409778,8175.182949778356,913.4382776212233,0.11173306863377147
97,Vaupés,224.751000735887,280.5192993552313,2743.4991708854354,4792.27741292061,45.680688295633374,43.018225878314766,81.92129347841245,58.53569716121073,34.48742890592706,26.167664074610038,0.02241240726589111,0.05736203224790137,-0.033053603133175735,-0.027229450830935753,9,7,32,32,0.12945928326879916,2341210.543735164,11827.303317980472,6423109185.605662,2743.4991708854354,543074.6986797001,2256890.2483088775,12106.980608778676,10815644160.41142,4792.27741292061,893339.5129557805,-0.0036613062706599697,0.002339882953166006,1597563.0799875848,659327.1683212926,0.41270806554093403,8331.215752036605,3775.764856742071,0.45320694711561965
99,Vichada,489.90750437631243,640.1519018187548,6063.055784236426,6943.32428233031,44.01944684419093,46.491137582165024,80.80207766684943,92.19674550529676,35.299991716795816,38.13660901514459,0.02710985159809365,0.01364898188216812,0.013279616471306266,0.007759143145216418,4,4,14,16,0.18867324402079322,1998544.416981866,10477.245645487,12117286287.435318,6063.055784236426,1156533.5678327589,1603738.3234349994,7960.51631561294,11135275243.609932,6943.32428233031,1398813.192778758,-0.021767763785915162,-0.02709729462711319,1649879.1892233447,-46140.865788345225,-0.027966208731964995,8535.69109448259,-575.1747788696503,-0.06738467600373203
