"term","estimate","std.error","statistic","p.value","conf.low","conf.high","specification","specification_order","tamano_empresa","premium","ci_low","ci_high"
"tamano_empresa::11-19",0.363146580249759,0.0441506501794412,8.22516947709319,3.86133020418129e-07,0.269551382970297,0.45674177752922,"+ worker controls",3,"11-19",43.784660370963,30.9376910172548,57.8921118692156
"tamano_empresa::11-19",0.223574906876575,0.0499004339587562,4.48042009136362,0.000378567384556202,0.117790712493967,0.329359101259182,"+ formality",4,"11-19",25.0539310761942,12.5008636475432,39.0076944351623
"tamano_empresa::20-30",0.529474098418174,0.0421014852825346,12.5761382256464,1.03992192242334e-09,0.440222936662644,0.618725260173705,"Raw",1,"20-30",69.803907232781,55.3053412464922,85.655990193899
"tamano_empresa::20-30",0.478772989758801,0.0471459075608231,10.155133595448,2.21630117611618e-08,0.378828130484017,0.578717849033586,"Sector-year FE",2,"20-30",61.4092678397192,46.0571986369827,78.3749927267018
"tamano_empresa::20-30",0.356049764137298,0.0463744463124035,7.67771461331859,9.41483861450131e-07,0.257740329651183,0.454359198623414,"+ worker controls",3,"20-30",42.7678593689627,29.4002760845727,57.5163692500497
"tamano_empresa::20-30",0.190422596410091,0.04952672454754,3.84484534662305,0.00143079061139575,0.0854306305886892,0.295414562231492,"+ formality",4,"20-30",20.9760730189905,8.91860025315572,34.3683283578746
"tamano_empresa::31-50",0.59204537612137,0.0515129265243132,11.4931419367513,3.83482477999503e-09,0.482842850204083,0.701247902038657,"Raw",1,"31-50",80.7682026350057,62.0675196222548,101.626724219967
"tamano_empresa::31-50",0.520515888677047,0.0511206385140295,10.1821085144349,2.13565117180896e-08,0.412144976191581,0.628886801162512,"Sector-year FE",2,"31-50",68.2895612584708,51.0053342242932,87.5521588297134
"tamano_empresa::31-50",0.378049427782007,0.0477985509950358,7.90922360431533,6.42833767960035e-07,0.276721026232533,0.479377829331481,"+ worker controls",3,"31-50",45.9435077731925,31.8798409550703,61.5069240825089
"tamano_empresa::31-50",0.195232740728763,0.0489123584230481,3.99148082454284,0.00105067739664008,0.0915431729103339,0.298922308547192,"+ formality",4,"31-50",21.5593871772586,9.5864087313245,34.8404859870808
"tamano_empresa::51-100",0.656898441967967,0.0606482474667737,10.8312848170568,8.94347474927959e-09,0.528329900774672,0.785466983161263,"Raw",1,"51-100",92.8800760107716,69.6097291125261,119.343099694707
"tamano_empresa::51-100",0.567276460212453,0.0529394320718478,10.7155751017986,1.04133886802091e-08,0.455049877625579,0.679503042799327,"Sector-year FE",2,"51-100",76.3457658024173,57.6252000780455,97.2897043178593
"tamano_empresa::51-100",0.40684573505073,0.0469536130607653,8.66484405628612,1.93922601329214e-07,0.30730852190563,0.506382948195831,"+ worker controls",3,"51-100",50.2072370670056,35.9760419239461,65.927863085786
"tamano_empresa::51-100",0.215338382565268,0.0470757081804626,4.57429937622559,0.000311843417854057,0.115542339328912,0.315134425801624,"+ formality",4,"51-100",24.0281515607147,12.2482038678436,37.0443521544355
"tamano_empresa::101+",0.843412557076599,0.0943627602092059,8.93798099172514,1.27904266588639e-07,0.643372441659959,1.04345267249324,"Raw",1,"101+",132.428521433416,90.2887447245929,183.900225701273
"tamano_empresa::101+",0.672469781696607,0.0691729962984178,9.72156502799906,4.06295369886575e-08,0.525829580280579,0.819109983112635,"Sector-year FE",2,"101+",95.9069825360681,69.1861801555522,126.84799533331
"tamano_empresa::101+",0.479881643763731,0.0631457296852199,7.59958980846259,1.07254673192349e-06,0.34601867678084,0.613744610746621,"+ worker controls",3,"101+",61.5883141027818,41.3429013875086,84.7336017462483
"tamano_empresa::101+",0.282200488478875,0.0638052812254018,4.42283903556446,0.00042653742452357,0.146939334690843,0.417461642266907,"+ formality",4,"101+",32.6044549992723,15.8283693260066,51.8103171785392
