"tamano_empresa","mean_income","p25_income","median_income","p75_income","sd_income","raw_premium"
"Solo",8351.33834571631,3605.76923076923,5769.23076923077,8942.30769230769,11807.4911842612,0
"2-3",8829.74515540182,4615.38461538462,6521.73913043478,8653.84615384615,13608.1739448671,5.72850470045805
"4-5",9502.55359520775,5439.56043956044,6923.07692307692,8653.84615384615,16211.2065463077,13.7847995355372
"6-10",10609.2759331789,6392.93139293139,7465.90909090909,9531.77257525084,17310.4611007549,27.036835223192
"11-19",12346.2012421753,6843.75,7867.13286713287,11276.2237762238,18438.3418634654,47.835002380284
"20-30",11996.6726920989,7138.79598662207,8144.64882943144,11538.4615384615,13413.7515214683,43.6497025444119
"31-50",13428.4217620065,7141.30434782609,8514.86013986014,13516.4835164835,17572.7857115233,60.7936501446434
"51-100",14480.6093533228,7211.53846153846,8897.15719063545,14685.3146853147,18798.9265659362,73.3926797583332
"101+",18501.9361550263,7615.38461538462,11036.7892976589,20769.2307692308,21985.616514677,121.544564345386
