"tamano_empresa","Men","Women","men_ratio","women_ratio"
"Solo",6815.94330631342,6132.69761504823,1,1
"2-3",7191.30695518575,7338.59066658726,1.05507141594394,1.19663337852824
"4-5",8343.8814439072,8063.68724449647,1.22417119229535,1.31486790164088
"6-10",9705.2496434667,9600.60401833799,1.42390410355629,1.56547813392598
"11-19",12279.9585265339,10682.2064831963,1.80165209343208,1.74184464223129
"20-30",11182.1441160897,11225.3385982939,1.64058643294934,1.83040797099623
"31-50",12313.4759866742,12945.3689563546,1.8065696020782,2.11087677380173
"51-100",13184.4741672585,13258.1800274518,1.93435795674036,2.16188386574274
"101+",16929.0285072006,16776.9789446494,2.48373963021665,2.73566055229636
