,Ocupados,Horas totales,Prod. por hora,Prod. por trabajador
Ocupados,1.0,0.9932519277686203,-0.6988185784007941,-0.6823264465899399
Horas totales,0.9932519277686203,1.0,-0.6706607731652183,-0.6462465391606727
Prod. por hora,-0.6988185784007941,-0.6706607731652183,1.0,0.9974359577869185
Prod. por trabajador,-0.6823264465899399,-0.6462465391606727,0.9974359577869185,1.0
