"anio","educacion","tamano_empresa","workers","mean_income","worker_share","year","education_chr","education_en","education_es"
2008,"Superior o universitaria","20-30",89918.1406625568,14235.6821505432,0.052726413382276,"2008","Superior o universitaria","Higher education","Superior o universitaria"
2008,"Superior o universitaria","31-50",77293.6518728614,15042.1285719413,0.0453236355917142,"2008","Superior o universitaria","Higher education","Superior o universitaria"
2008,"Superior o universitaria","51-100",94286.2724835146,17340.0452502257,0.0552878089182938,"2008","Superior o universitaria","Higher education","Superior o universitaria"
2008,"Superior o universitaria","101+",758316.383594491,18680.0100582822,0.444663366272267,"2008","Superior o universitaria","Higher education","Superior o universitaria"
2025,"Básica primaria","Solo",2273631.47981566,4826.81451153578,0.555470727188201,"2025","Básica primaria","Primary","Basica primaria"
2025,"Básica primaria","2-3",825736.17185979,6075.37431743095,0.201735538903493,"2025","Básica primaria","Primary","Basica primaria"
2025,"Básica primaria","4-5",327251.730696867,6732.22445561535,0.0799508444695376,"2025","Básica primaria","Primary","Basica primaria"
2025,"Básica primaria","6-10",194918.621812941,6865.14943003612,0.0476205530940902,"2025","Básica primaria","Primary","Basica primaria"
2025,"Básica primaria","11-19",98989.8583455978,7099.78730625486,0.0241842044709657,"2025","Básica primaria","Primary","Basica primaria"
2025,"Básica primaria","20-30",60380.019690943,7650.95226341077,0.0147514378399112,"2025","Básica primaria","Primary","Basica primaria"
2025,"Básica primaria","31-50",54744.6737405051,7381.90814158928,0.0133746669160231,"2025","Básica primaria","Primary","Basica primaria"
2025,"Básica primaria","51-100",55919.7514720635,7950.91369821558,0.0136617500637742,"2025","Básica primaria","Primary","Basica primaria"
2025,"Básica primaria","101+",201589.345430415,8710.4165984819,0.0492502770540038,"2025","Básica primaria","Primary","Basica primaria"
2025,"Básica secundaria","Solo",1183567.76861492,5191.23873098209,0.482697635073773,"2025","Básica secundaria","Lower secondary","Basica secundaria"
2025,"Básica secundaria","2-3",467140.244267569,6155.33957018112,0.190515065664232,"2025","Básica secundaria","Lower secondary","Basica secundaria"
2025,"Básica secundaria","4-5",229261.044272944,6643.44528348661,0.0935001499868472,"2025","Básica secundaria","Lower secondary","Basica secundaria"
2025,"Básica secundaria","6-10",161387.774128387,7020.78905472794,0.0658192111743271,"2025","Básica secundaria","Lower secondary","Basica secundaria"
2025,"Básica secundaria","11-19",86585.8613781589,7961.53228688666,0.0353125453618709,"2025","Básica secundaria","Lower secondary","Basica secundaria"
2025,"Básica secundaria","20-30",57241.1493912872,7406.10702555111,0.0233448123316278,"2025","Básica secundaria","Lower secondary","Basica secundaria"
2025,"Básica secundaria","31-50",43707.8023411354,7563.3018462495,0.0178254709056733,"2025","Básica secundaria","Lower secondary","Basica secundaria"
2025,"Básica secundaria","51-100",40881.5217490602,7964.50715892053,0.0166728212695261,"2025","Básica secundaria","Lower secondary","Basica secundaria"
2025,"Básica secundaria","101+",182212.678854581,8026.84455856508,0.0743122882321232,"2025","Básica secundaria","Lower secondary","Basica secundaria"
2025,"Media","Solo",2631260.09446278,6131.34882917257,0.336488409639889,"2025","Media","Upper secondary","Media"
2025,"Media","2-3",1152506.33969374,6848.76851045782,0.14738376725263,"2025","Media","Upper secondary","Media"
2025,"Media","4-5",661623.513670393,7560.1815852743,0.0846091362704149,"2025","Media","Upper secondary","Media"
2025,"Media","6-10",536431.882385369,8036.18286268831,0.0685994939701458,"2025","Media","Upper secondary","Media"
