anio,depto,departamento,pib_miles_millones_2015,ocupados,horas_sem_expandidas,horas_anuales,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015,horas_semanales_por_trabajador
2022,17,Caldas,15325.480229424333,415216.41125329334,19375455.684654873,1007523695.6020534,15325480229424.332,36.909620655806336,15211.037017115985,46.66351126674354
2023,17,Caldas,15401.145917755233,430648.076310808,19470004.42313247,1012440230.0028886,15401145917755.232,35.76271848162139,15211.90630454431,45.21094019489025
2024,17,Caldas,15746.930873762623,429957.62929398025,19455043.995043352,1011662287.7422543,15746930873762.623,36.624378312858774,15565.402669012547,45.248747014885765
2010,18,Caquetá,2573.310348401396,172190.04403764955,8388391.47154257,436196356.5202136,2573310348401.396,14.944594286988734,5899.431093212598,48.71589131894546
2011,18,Caquetá,2663.5524647288967,178113.07661708834,8689322.980637332,451844794.9931413,2663552464728.8965,14.954278008767789,5894.839321473931,48.785429715067146
2012,18,Caquetá,2982.219938010385,180928.50610079736,8744662.360480923,454722442.745008,2982219938010.385,16.482863879663913,6558.330220095837,48.33214261775406
2013,18,Caquetá,3155.6540053273006,177713.73870010916,8557136.143624907,444971079.4684952,3155654005327.301,17.756950185221456,7091.8182123131155,48.151235837005395
2014,18,Caquetá,3323.447940373748,188742.1580393684,8930008.236004498,464360428.2722339,3323447940373.748,17.60840278026562,7157.043834978458,47.313267628008425
2015,18,Caquetá,3349.8674772843992,188419.35728416714,8983600.31786778,467147216.52912456,3349867477284.3994,17.778786243455087,7170.903215850693,47.67875470628554
2016,18,Caquetá,3426.8095046940543,202724.91575901207,9277271.709403511,482418128.8889826,3426809504694.054,16.90374116996873,7103.401177285888,45.76285887044988
2017,18,Caquetá,3453.8970974461545,206916.49401315025,9619180.282809634,500197374.70610094,3453897097446.1543,16.692227045112446,6905.06842319104,46.48822380587167
2018,18,Caquetá,3525.1160766339985,213114.93259362754,9756215.16976931,507323188.8280041,3525116076633.9985,16.540915428745535,6948.462349567674,45.77912514639547
2019,18,Caquetá,3595.8663305674672,207086.71687910456,9220647.443853691,479473667.08039194,3595866330567.4673,17.36406074111795,7499.611714785911,44.52553781726438
2021,18,Caquetá,3662.685910575827,142593.7691457844,6667350.35270786,346702218.34080875,3662685910575.827,25.686156783128343,10564.35672117737,46.757655630038954
2022,18,Caquetá,3764.622416903448,150180.76345014572,7051542.450990994,366680207.4515317,3764622416903.448,25.067274465901612,10266.772900200951,46.953699588375294
2023,18,Caquetá,3815.593053795733,155221.94692061108,7137730.179762086,371161969.3476285,3815593053795.733,24.58153070162967,10280.129347578893,45.98402688128057
2024,18,Caquetá,3896.2083901751707,156651.94694931235,7156454.95222333,372135657.51561314,3896208390175.171,24.871752097890372,10469.860416457683,45.683791945075114
2010,19,Cauca,10527.986557692253,482915.1096216211,19639465.643271714,1021252213.4501292,10527986557692.254,21.800905268715358,10308.899622479366,40.66856731540217
2011,19,Cauca,10924.12890903399,488992.89351547667,19970273.3859267,1038454216.0681884,10924128909033.99,22.340056581391284,10519.605717809205,40.839598388344754
2012,19,Cauca,11911.127648817639,497557.1407939269,20073025.220729034,1043797311.4779098,11911127648817.639,23.9392155638881,11411.341567792224,40.343155740262354
