codigo,actividad,actividad_corta,va_2010_billones,va_2025_billones,crecimiento_anualizado
069,Actividades especializadas para la construcción de edificaciones y obras de ingeniería civil (Alquiler de maquinaria y equipo de construcción con operadores),Actividades especializadas de construcción,8.542,9.082220023194926,0.00409660063909012
070,"Comercio al por mayor y en comisión o por contrata; comercio al por menor (incluso el comercio al por menor de combustibles); comercio de vehículos automotores y motocicletas, sus partes, piezas y accesorios",Comercio,46.676,82.2639178859029,0.038502908551398374
071,Mantenimiento y reparación de vehículos automotores y motocicletas,Reparación de vehículos,4.49,6.809220969129495,0.028150613802142344
"072,074",Transporte terrestre y transporte por tuberías,Transporte terrestre y tuberías,24.131,31.81156414769242,0.018592905348849387
073,Transporte acuático,Transporte acuático,0.231,0.20710213733070768,-0.007253937061877158
075,Transporte aéreo,Transporte aéreo,2.884,7.6847413033538245,0.06751896627361531
076,Almacenamiento y actividades complementarias al transporte,Almacenamiento y apoyo al transporte,4.917000000000001,9.521505769207131,0.04504187995604636
077,Actividades de correo y de servicios de mensajería,Correo y mensajería,0.741,1.224568396863621,0.034056627886121627
078-080,Alojamiento y servicios de comida,Alojamiento y comida,23.796,40.636968158629095,0.036321454440124024
081-084,Información y comunicaciones,Información y comunicaciones,18.256,31.28688267426024,0.03656636156932591
085-088,Actividades financieras y de seguros,Financieras y seguros,22.312,53.112341726684846,0.05952318170777726
089,Actividades inmobiliarias,Inmobiliarias,59.932,90.07380494244305,0.02753348280988499
090-093,"Actividades profesionales, científicas y técnicas","Profesionales, científicas y técnicas",21.757,31.19124967170415,0.024304115269939475
094-097,Actividades de servicios administrativos y de apoyo,Servicios administrativos y de apoyo,23.6,38.84395535022218,0.03377834256751866
"098,099",Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Administración pública y defensa,31.284,62.72372487733989,0.04746769464251033
100,Educación de mercado,Educación de mercado,15.572999999999999,22.071952627494333,0.023523687703661533
101,Educación de no mercado,Educación de no mercado,15.506,30.755357684049944,0.04671408160981949
"102,103",Actividades de atención de la salud humana y de servicios sociales,Salud y servicios sociales,23.573,49.78863414168853,0.051108844405916454
104-108,"Actividades artísticas, de entretenimiento y recreación y otras actividades de servicios","Arte, recreación y otros servicios",10.994,40.570915803534106,0.09094771894553455
109,Actividades de los hogares individuales en calidad de empleadores,Hogares como empleadores,4.276,6.72433785508047,0.030641095210144353
