variable_1,variable_2,correlacion
Crec. ocupados,Crec. PIB por trabajador,-0.7824321225773219
Crec. ocupados,Crec. PIB por hora,-0.7341835630093939
Crec. horas totales,Crec. PIB por trabajador,-0.8005866881089414
Crec. horas totales,Crec. PIB por hora,-0.7824327078927561
PIB por trabajador inicial,Crec. PIB por trabajador,-0.3279712306724851
PIB por hora inicial,Crec. PIB por hora,-0.41966309709559696
