indicador,depto,departamento,nivel_inicial_log,crecimiento_anualizado,nivel_inicial,nivel_final,ocupados_fin
Remuneración por trabajador,52,Nariño,13.783038664243872,0.008657603116968697,968049.6577232918,1102292.5562450374,849082.5809281862
Remuneración por trabajador,54,Norte de Santander,14.067816375495543,0.010431615250212072,1286989.5610788725,1504980.657990125,673286.7145479275
Remuneración por trabajador,63,Quindío,14.14191962939023,0.013915421808488896,1385982.2186463887,1707687.9823464286,256407.09811340953
Remuneración por trabajador,66,Risaralda,14.022704337087578,0.026181023521639802,1230220.9398198214,1821953.2355268158,449847.63761151687
Remuneración por trabajador,68,Santander,14.316571276660975,0.010660946229088353,1650471.0280136995,1936679.5066878323,1045570.2664773326
Remuneración por trabajador,70,Sucre,13.776768651622195,0.0030800936742713483,961998.9629398845,1007487.3901417025,403195.9914862028
Remuneración por trabajador,73,Tolima,14.006209069036585,0.017671930798219767,1210094.5669662554,1577399.2918482802,580409.6244525462
Remuneración por trabajador,76,Valle del Cauca,14.198622772106715,0.017500719948442503,1466842.6213203396,1907174.8546495722,2011697.4232403866
Remuneración por hora,5,Antioquia,9.020870632633788,0.020385157800829983,8273.97754118773,11233.413898795647,3311770.0767034027
Remuneración por hora,8,Atlántico,8.796546975360542,0.016573273347804472,6611.375304078794,8477.289773982578,1256860.111565948
Remuneración por hora,11,Bogotá D.C.,9.290446248088681,0.021388507206199257,10834.01767970308,14932.179426187933,4160820.0668823733
Remuneración por hora,13,Bolívar,8.596905963031489,0.01896543842427718,5414.879807808414,7196.769612516412,885761.33413306
Remuneración por hora,15,Boyacá,8.779230757336025,0.021567456865077973,6497.876806280963,8979.887292870517,522604.17780840414
Remuneración por hora,17,Caldas,8.778476868666019,0.024971472752352022,6492.979976641731,9443.188434001011,466839.7189306313
Remuneración por hora,18,Caquetá,8.715466520040133,0.016456821961390963,6096.478083364618,7803.43148150043,153617.57973122044
Remuneración por hora,19,Cauca,8.535565160749865,0.0198127313289555,5092.708861197487,6855.154504445907,627653.8564868355
Remuneración por hora,20,Cesar,8.665981714556633,0.013810726034104447,5802.137798412738,7137.676663190623,515871.15542724985
Remuneración por hora,23,Córdoba,8.489934203137073,0.016930456761355118,4865.545925063193,6272.253974272314,791370.3113817273
Remuneración por hora,25,Cundinamarca,8.776003743876073,0.03173690645907001,6476.941867198449,10425.993488277676,1706608.0129832893
Remuneración por hora,27,Chocó,8.48196941667642,0.018418152707326267,4826.946811656928,6362.913871355486,137366.38913717508
Remuneración por hora,41,Huila,8.736737337736136,0.011199312154473163,6227.544156866801,7366.713969772712,467605.97177084093
Remuneración por hora,44,La Guajira,8.695518406446153,-0.007270128233346422,5976.069797897405,5358.645318022194,348363.9258438963
Remuneración por hora,47,Magdalena,8.557191126069677,0.014627751598953746,5204.043122798276,6480.852893509381,594008.2057770757
Remuneración por hora,50,Meta,8.841429847355812,0.01656182273826943,6914.872787691982,8864.919948715926,524442.8747610816
Remuneración por hora,52,Nariño,8.561800535292793,0.017983140317948218,5228.086056456772,6846.875118301571,849082.5809281862
Remuneración por hora,54,Norte de Santander,8.733995616967501,0.013574976434909066,6210.49335466455,7613.058408567889,673286.7145479275
Remuneración por hora,63,Quindío,8.798404836193347,0.021926381097163748,6623.669736443054,9203.145001879651,256407.09811340953
Remuneración por hora,66,Risaralda,8.690525216625185,0.03019769060405236,5946.304520694877,9353.356816754622,449847.63761151687
Remuneración por hora,68,Santander,8.995846625786116,0.013226139461119975,8069.4985822716035,9840.27284392376,1045570.2664773326
Remuneración por hora,70,Sucre,8.493911863565046,0.013709174333288368,4884.937956439677,6000.2083857437065,403195.9914862028
Remuneración por hora,73,Tolima,8.70535185312994,0.02050748407332771,6035.125044071221,8208.817120963078,580409.6244525462
Remuneración por hora,76,Valle del Cauca,8.883418443819943,0.021790245301973717,7211.400415615679,9999.317537022507,2011697.4232403866
