"tamano_empresa","mean_income","p25_income","median_income","p75_income","sd_income","raw_premium"
"Solo",5689.52695148058,2365.53478834244,3943.47827888552,6169.10652549698,11204.6992677953,0
"2-3",6464.2170283057,3066.9803892846,4783.55114350339,6778.62515803585,12542.9147931814,13.6160718357002
"4-5",7443.52082341473,3942.55798057073,5429.86425339367,7162.50117595409,21475.7615227929,30.828465826631
"6-10",8402.68084870436,4646.93998376455,5922.3422644771,7853.85504668742,16634.4005920153,47.6868098237542
"11-19",9746.14244265586,5203.8970365903,6382.97872340426,8774.4293350297,17880.8060798176,71.2996972467039
"20-30",9971.55057892017,5468.09096081559,6669.36249853279,9340.65934065934,21068.6511922701,75.261505287804
"31-50",10743.7299546973,5714.42068172221,6938.90204580448,10320.861510988,16435.1296542758,88.8334486560697
"51-100",11611.8659934684,5808.67497970569,7175.64942537858,11255.358990785,18818.4169403044,104.091941078628
"101+",14650.3041339356,6166.1202216314,8623.65317362557,16169.3497005479,20770.7365683414,157.495996747554
