"tamano_empresa","women_pooled","formal_pooled","higher_education_pooled","women_2025","formal_2025","higher_education_2025"
"Solo",0.439473430899025,0.0668248478764579,0.131464049792844,0.412996638537426,0.0830380155526042,0.167022120067266
"2-3",0.334250474860767,0.111680192461669,0.141418289621287,0.345525621954316,0.130326613773453,0.170101973186986
"4-5",0.32654870030498,0.219482429513318,0.181761827896316,0.364926836932494,0.241586939747857,0.201907975639175
"6-10",0.36463221779037,0.412586290895115,0.259437924359579,0.404584244187587,0.465702037134768,0.298979771968163
"11-19",0.392652650100467,0.603566944556836,0.349176049072101,0.404197135514087,0.644053922794353,0.387884166688401
"20-30",0.405882962058227,0.742660069338604,0.404302330055654,0.426605204953224,0.812290725079444,0.454226758012334
"31-50",0.402945258753468,0.840184588291774,0.440732998324771,0.412270626738533,0.904037565709053,0.510022712246212
"51-100",0.408356964744359,0.893070928300879,0.471007411517256,0.437327065024175,0.942871447320979,0.533743691754993
"101+",0.448016647269969,0.947697854627087,0.583780499310609,0.458076194527622,0.979532803336225,0.629034985423201
