"firm_size","employment_share_2008","employment_share_2025","mean_income_2008","mean_income_2025","wage_ratio_2008","wage_ratio_2025"
"Solo",0.361361635787116,0.346509514548688,5388.16629605611,6533.76513252572,1,1
"2-3",0.196377732573239,0.137570007091568,6241.87010462477,7242.1972511715,1.15844050863715,1.10842632146649
"4-5",0.072998461583634,0.0700948236163598,7196.0190020006,8241.63106098941,1.33552281177137,1.26139077451097
"6-10",0.058569739823633,0.0578051578764842,7542.63159663656,9662.91167231646,1.39985130046142,1.4789193483882
"11-19",0.033844954686231,0.0386812612131974,8679.04688798039,11634.1517273551,1.61076076926821,1.78061982507439
"20-30",0.0326544653392578,0.0327795364511621,8905.34206072399,11200.5711070232,1.65275931948171,1.71425983025709
"31-50",0.0257563696880369,0.0300599644389766,10423.6738374337,12573.986897316,1.93454939300284,1.92446264018911
"51-100",0.030318545594051,0.034893916842564,10682.0944787053,13216.7077347719,1.9825101698372,2.02283177719044
"101+",0.188118094924801,0.251605817921,12943.453147127,16859.3782222075,2.40220001312896,2.58034653530472
