"anio","sector","tamano_empresa","workers","mean_income","worker_share","year","sector_chr","sector_label_en","sector_label_es"
2008,"Alojamiento y servicios de comida","20-30",11561.8002087624,8410.15262292818,0.0316724746395861,"2008","Alojamiento y servicios de comida","I - Accommodation and food","I - Alojamiento y comida"
2008,"Alojamiento y servicios de comida","31-50",6616.25624843729,8832.36229452073,0.0181246176593518,"2008","Alojamiento y servicios de comida","I - Accommodation and food","I - Alojamiento y comida"
2008,"Alojamiento y servicios de comida","51-100",5373.59391447517,7302.21355315344,0.0147204599549006,"2008","Alojamiento y servicios de comida","I - Accommodation and food","I - Alojamiento y comida"
2008,"Alojamiento y servicios de comida","101+",19787.1478888734,7667.99650594514,0.0542050483820947,"2008","Alojamiento y servicios de comida","I - Accommodation and food","I - Alojamiento y comida"
2008,"Artes, recreación y otros servicios","Solo",215227.353647537,5294.48160793464,0.546805560184305,"2008","Artes, recreación y otros servicios","R/S - Arts and other services","R/S - Arte y otros servicios"
2008,"Artes, recreación y otros servicios","2-3",55956.115627093,6628.11588326836,0.142161833208789,"2008","Artes, recreación y otros servicios","R/S - Arts and other services","R/S - Arte y otros servicios"
2008,"Artes, recreación y otros servicios","4-5",16943.9646737602,9768.37310307372,0.043047753634286,"2008","Artes, recreación y otros servicios","R/S - Arts and other services","R/S - Arte y otros servicios"
2008,"Artes, recreación y otros servicios","6-10",18033.6886528254,10169.7240365226,0.0458163010364662,"2008","Artes, recreación y otros servicios","R/S - Arts and other services","R/S - Arte y otros servicios"
2008,"Artes, recreación y otros servicios","11-19",10892.0223859152,13631.1374063965,0.0276722187088903,"2008","Artes, recreación y otros servicios","R/S - Arts and other services","R/S - Arte y otros servicios"
2008,"Artes, recreación y otros servicios","20-30",8853.34425699724,7718.72554780584,0.0224927630429343,"2008","Artes, recreación y otros servicios","R/S - Arts and other services","R/S - Arte y otros servicios"
2008,"Artes, recreación y otros servicios","31-50",9483.90310734344,30130.8970597745,0.0240947577687411,"2008","Artes, recreación y otros servicios","R/S - Arts and other services","R/S - Arte y otros servicios"
2008,"Artes, recreación y otros servicios","51-100",8479.84223174134,7818.8618267899,0.0215438456275184,"2008","Artes, recreación y otros servicios","R/S - Arts and other services","R/S - Arte y otros servicios"
2008,"Artes, recreación y otros servicios","101+",49738.3336526205,11981.6421823923,0.126364966788069,"2008","Artes, recreación y otros servicios","R/S - Arts and other services","R/S - Arte y otros servicios"
2008,"Comercio y reparación","Solo",723925.941923041,5745.40068592513,0.446802944546238,"2008","Comercio y reparación","G - Commerce","G - Comercio"
2008,"Comercio y reparación","2-3",388746.829843373,6247.4605732667,0.239932316551103,"2008","Comercio y reparación","G - Commerce","G - Comercio"
2008,"Comercio y reparación","4-5",128130.484802163,9034.57717099482,0.0790814012600054,"2008","Comercio y reparación","G - Commerce","G - Comercio"
2008,"Comercio y reparación","6-10",92763.4545642273,7150.05358878231,0.0572530727873599,"2008","Comercio y reparación","G - Commerce","G - Comercio"
2008,"Comercio y reparación","11-19",51113.9835445317,7108.71818795507,0.0315472578514289,"2008","Comercio y reparación","G - Commerce","G - Comercio"
2008,"Comercio y reparación","20-30",43933.0350375699,8753.83413396025,0.0271152175670009,"2008","Comercio y reparación","G - Commerce","G - Comercio"
2008,"Comercio y reparación","31-50",30433.3310882581,7610.98231609907,0.0187832776187897,"2008","Comercio y reparación","G - Commerce","G - Comercio"
2008,"Comercio y reparación","51-100",28603.6694783216,8658.41519495868,0.0176540209538452,"2008","Comercio y reparación","G - Commerce","G - Comercio"
2008,"Comercio y reparación","101+",132584.657061904,8643.01069747195,0.0818304908642294,"2008","Comercio y reparación","G - Commerce","G - Comercio"
2008,"Construcción","Solo",123560.657665767,5531.64902524533,0.295419703558617,"2008","Construcción","F - Construction","F - Construccion"
2008,"Construcción","2-3",118236.033284756,4964.85559923812,0.282689122596073,"2008","Construcción","F - Construction","F - Construccion"
2008,"Construcción","4-5",48597.7953745519,6040.73750759671,0.116191889670801,"2008","Construcción","F - Construction","F - Construccion"
2008,"Construcción","6-10",32463.6949231941,7485.87958013142,0.0776170612216195,"2008","Construcción","F - Construction","F - Construccion"
2008,"Construcción","11-19",16480.9229304507,7712.28338704578,0.0394040421802892,"2008","Construcción","F - Construction","F - Construccion"
2008,"Construcción","20-30",20308.6010283325,7210.56718154975,0.0485555921182381,"2008","Construcción","F - Construction","F - Construccion"
2008,"Construcción","31-50",12997.8972661717,9735.1630699145,0.0310765176375525,"2008","Construcción","F - Construction","F - Construccion"
2008,"Construcción","51-100",13162.5979683374,8491.59020456011,0.031470298583113,"2008","Construcción","F - Construction","F - Construccion"
2008,"Construcción","101+",32446.4256966375,9666.62390145076,0.0775757724336959,"2008","Construcción","F - Construction","F - Construccion"
2008,"Educación","Solo",22482.9496497401,13721.7447750673,0.0614147383345794,"2008","Educación","P - Education","P - Educacion"
2008,"Educación","2-3",9294.95533746748,6809.55478614377,0.0253902294305395,"2008","Educación","P - Education","P - Educacion"
2008,"Educación","4-5",8565.8501140902,7076.64479235311,0.0233985954496927,"2008","Educación","P - Education","P - Educacion"
2008,"Educación","6-10",15794.7762744148,9041.7969334763,0.0431452308108347,"2008","Educación","P - Education","P - Educacion"
2008,"Educación","11-19",20958.6405316335,11091.0534247854,0.0572509143218077,"2008","Educación","P - Education","P - Educacion"
2008,"Educación","20-30",25220.0346960357,12329.2141518818,0.0688913979604966,"2008","Educación","P - Education","P - Educacion"
2008,"Educación","31-50",21169.8245165437,14910.3398379741,0.0578277874356902,"2008","Educación","P - Education","P - Educacion"
2008,"Educación","51-100",24159.4618785457,15357.3207377114,0.0659943224839401,"2008","Educación","P - Education","P - Educacion"
2008,"Educación","101+",218437.45133515,19413.4813279995,0.596686783772419,"2008","Educación","P - Education","P - Educacion"
2008,"Electricidad, gas, agua y saneamiento","Solo",1104.11215832354,5324.61510852367,0.0236273491573443,"2008","Electricidad, gas, agua y saneamiento","D/E - Utilities and water","D/E - Servicios publicos y agua"
2008,"Electricidad, gas, agua y saneamiento","2-3",1492.68162316528,3535.25610218585,0.031942506588124,"2008","Electricidad, gas, agua y saneamiento","D/E - Utilities and water","D/E - Servicios publicos y agua"
