"tamano_empresa","observations","expanded_worker_years","pooled_share","share_first","share_last"
"Solo",1435259,50628063.7825819,0.311410644273226,0.345475683564668,0.288935634535984
"2-3",494122,19573673.2296316,0.120396668089255,0.166001442945984,0.0976515492206072
"4-5",236560,9856576.1454889,0.0606272983493164,0.0684972815935111,0.061744725553052
"6-10",213420,10063540.705276,0.0619003268258112,0.0593810551707789,0.0631977305251298
"11-19",141540,6764606.1091099,0.0416087479809422,0.0366602082846061,0.0461183124866598
"20-30",128837,6531379.91806321,0.040174185546812,0.0367177931157206,0.0414816523427542
"31-50",105125,5471736.73880417,0.0336563742678763,0.0300397656922503,0.0381971735167341
"51-100",111905,6143327.56284484,0.0377872952547153,0.0351014637169541,0.0435575746155883
"101+",985554,47543631.6897467,0.292438459412045,0.222125305915527,0.31911564720349
