"estimate","std.error","p.value","conf.low","conf.high","tamano_empresa","premium","ci_low","ci_high","significativo"
0.523817055577262,0.0626120157083969,5.95673814931553e-17,0.401097504788804,0.646536606365719,"Solo",68.8460311824423,49.3462881183694,90.8918032396396,TRUE
0.347777282773854,0.017985718501957,2.65871968536738e-83,0.312525274510018,0.38302929103769,"2-3",41.5916865543833,36.6872487769606,46.6720991219041,TRUE
0.205439413215165,0.0357139481293596,8.80072124572535e-09,0.13544007488162,0.27543875154871,"4-5",22.8064574223738,14.5040577086332,31.7108431476679,TRUE
0.154593187734528,0.0307373357289103,4.9178071921788e-07,0.0943480097058639,0.214838365763192,"6-10",16.718304013306,9.89421219026423,23.966150902981,TRUE
0.14939950365062,0.0241221776668112,5.88613298155002e-10,0.10212003542367,0.19667897187757,"11-19",16.1136774941328,10.7516404950315,21.7353173365981,TRUE
0.14484064746406,0.0183843265602754,3.31373341141326e-15,0.10880736740592,0.1808739275222,"20-30",15.5855367107863,11.4947554414094,19.826410164568,TRUE
0.164574666796979,0.0143199799098513,1.43619579456017e-30,0.13650750617367,0.192641827420288,"31-50",17.8891590324487,14.6263481796242,21.2448449949698,TRUE
0.181488940274354,0.0185671952471321,1.44571432174239e-22,0.145097237589975,0.217880642958733,"51-100",19.9001276011222,15.6151986235191,24.3438645603895,TRUE
0.340645977928366,0.042671460753165,1.42826860632213e-15,0.257009914852162,0.424282041004569,"101+",40.585544889426,29.3057947174181,52.8492630593181,TRUE
