anio,pib_miles_millones_2015,ocupados,horas_sem_expandidas,horas_anuales,group_code,group_name,group_label_short,group_order,sector_code,dane_groups,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015
2010,39943.0,2956386.2670199876,132949949.21140671,6913397358.993149,A,Agropecuario,Agropecuario,0,A,A,39943000000000.0,13.510751435150661,5777.622480796794
2011,40706.0,2962123.234075517,132918897.10351674,6911782649.382871,A,Agropecuario,Agropecuario,0,A,A,40706000000000.0,13.742169647679903,5889.363434140178
2012,41725.00000000001,2949416.079599234,129875306.14163673,6753515919.365109,A,Agropecuario,Agropecuario,0,A,A,41725000000000.01,14.146868015200349,6178.263366546196
2013,44834.99999999999,2866044.599024037,127041660.01723886,6606166320.8964205,A,Agropecuario,Agropecuario,0,A,A,44834999999999.99,15.643510926266632,6786.840933474428
2014,46140.0,2835772.625633171,125319488.38932852,6516613396.245083,A,Agropecuario,Agropecuario,0,A,A,46140000000000.0,16.27069800411021,7080.364783736623
2015,48124.0,2822782.0079052006,123696986.48146445,6432243297.036152,A,Agropecuario,Agropecuario,0,A,A,48124000000000.0,17.04842948028886,7481.682171782055
2016,49441.0,2824674.319125413,125238596.83053489,6512407035.187815,A,Agropecuario,Agropecuario,0,A,A,49441000000000.0,17.50325680565826,7591.816625229437
2017,52198.0,2989332.6662863414,130184916.76855536,6769615671.964878,A,Agropecuario,Agropecuario,0,A,A,52198000000000.0,17.461422272833143,7710.629750543808
2018,53029.99999999999,3033345.5185313057,130953558.81316754,6809585058.284712,A,Agropecuario,Agropecuario,0,A,A,53029999999999.99,17.48234735411092,7787.55233191226
2019,54471.0,2938597.2203198792,126046441.45668806,6554414955.747779,A,Agropecuario,Agropecuario,0,A,A,54471000000000.0,18.536395400956174,8310.581549651904
2021,57967.99999999999,2744398.01972018,117655679.99291658,6118095359.631662,A,Agropecuario,Agropecuario,0,A,A,57967999999999.99,21.122300622382188,9474.844145529947
2022,57442.0,2904810.448308547,122052805.6807599,6346745895.399515,A,Agropecuario,Agropecuario,0,A,A,57442000000000.0,19.774784283583156,9050.6223105036
2023,58389.0,2972460.4827932543,126403196.76730928,6572966231.900083,A,Agropecuario,Agropecuario,0,A,A,58389000000000.0,19.643322539693177,8883.204011702519
2024,61967.0,2942957.6415224085,122413954.4261189,6365525630.158183,A,Agropecuario,Agropecuario,0,A,A,61967000000000.0,21.05602850877056,9734.78132055846
2025,63894.79103692441,3127958.1670110263,131258843.45357525,6825459859.585913,A,Agropecuario,Agropecuario,0,A,A,63894791036924.414,20.4269966621645,9361.243396250928
2010,38427.0,191369.27809326013,9519565.705094153,495017416.664896,B,Minas,Minas,1,B,B,38427000000000.0,200.80025583455117,77627.57169009531
2011,43973.99999999999,219230.1553819825,10896110.633486569,566597752.9413016,B,Minas,Minas,1,B,B,43973999999999.99,200.58371953156043,77610.6148881173
2012,46335.0,213174.15960678895,10396683.219675405,540627527.423121,B,Minas,Minas,1,B,B,46335000000000.0,217.35748875692704,85705.95770595309
2013,48794.0,199412.62389731884,9745044.444395352,506742311.10855836,B,Minas,Minas,1,B,B,48794000000000.0,244.6886212435824,96289.5715048096
2014,48136.0,190084.27413505933,9072386.671843372,471764106.9358554,B,Minas,Minas,1,B,B,48136000000000.0,253.2350465025752,102034.04475310144
2015,47627.0,179129.67309641204,8791249.905666092,457144995.0946368,B,Minas,Minas,1,B,B,47627000000000.0,265.88001405197656,104183.57525743096
2016,46253.00000000001,155190.31280836582,7484209.163163992,389178876.4845276,B,Minas,Minas,1,B,B,46253000000000.01,298.0405101516533,118847.66310496008
2017,43592.0,164674.3485572578,7916672.9039788805,411666991.00690174,B,Minas,Minas,1,B,B,43592000000000.0,264.7163956130236,105891.4145469321
2018,42868.00000000001,188535.86999711173,8867148.521293255,461091723.10724926,B,Minas,Minas,1,B,B,42868000000000.01,227.3731783806271,92970.65605757789
2019,43693.0,188596.58049101662,9030229.21204678,469571919.02643263,B,Minas,Minas,1,B,B,43693000000000.0,231.6744019761335,93048.57941801345
