"estimate","std.error","p.value","conf.low","conf.high","formality","tamano_empresa","premium","ci_low","ci_high","significativo"
0.0215368901478128,0.067037043385831,0.748006928051749,-0.109855714888416,0.152929495184042,"Formal","2-3",2.17704829062808,-10.4036599850027,16.5242820815872,FALSE
0.0270888730897387,0.0905488696179278,0.764815665362881,-0.1503869113614,0.204564657540877,"Formal","4-5",2.74591121718335,-13.9624976854012,22.6990787488035,FALSE
0.025369706449173,0.0867770716626425,0.770015248921905,-0.144713354009606,0.195452766907952,"Formal","6-10",2.56942562170581,-13.4729716176264,21.586136367417,FALSE
0.0372124492523846,0.0807469937850866,0.644904474364353,-0.121051658566385,0.195476557071154,"Formal","11-19",3.79135013642711,-11.4011810469027,21.5890289558517,FALSE
0.0251396774458474,0.0791214584161646,0.750685759796947,-0.129938381049835,0.18021773594153,"Formal","20-30",2.54583439239588,-12.1850460093788,19.7478068753049,FALSE
0.0432055071433992,0.0770579079234416,0.575009692868763,-0.107827992386546,0.194239006673345,"Formal","31-50",4.41524535911912,-10.2217991509289,21.4386494749839,FALSE
0.0696613370176094,0.0759140443539564,0.358810312518012,-0.0791301899161451,0.218452863951364,"Formal","51-100",7.21450239323564,-7.60803684045636,24.415037091262,FALSE
0.154393861167795,0.0886565703735286,0.0815990473446466,-0.019373016764321,0.328160739099911,"Formal","101+",16.6950412730102,-1.91865658552158,38.8412126469646,FALSE
0.195516959177037,0.0256231859654784,2.3389887138869e-14,0.145295514684699,0.245738403669374,"Informal","2-3",21.5939415079118,15.638124741995,27.8565061861483,TRUE
0.340397216436295,0.0267994736730682,5.79048155750755e-37,0.287870248037081,0.392924184835509,"Informal","4-5",40.5505769690321,33.3584257721915,48.1306079607841,TRUE
0.390231875941383,0.0306924317871052,4.92686740020379e-37,0.330074709638657,0.450389042244109,"Informal","6-10",47.7323309903706,39.1072051072003,56.8922443882726,TRUE
0.408987244944188,0.0358940050987471,4.46377194799757e-30,0.338634994950644,0.479339494937733,"Informal","11-19",50.5292520273001,40.3031138289477,61.5007329311558,TRUE
0.401829668476652,0.0343820602707844,1.48209585729074e-31,0.334440830345914,0.469218506607389,"Informal","20-30",49.455674086775,39.7158917887601,59.874429678366,TRUE
0.401426353712349,0.0392600313329984,1.53529019415333e-24,0.324476692299672,0.478376015125026,"Informal","31-50",49.3954085606122,38.330656156222,61.3452051711991,TRUE
0.406088899120569,0.0450795625728964,2.09331280693812e-19,0.317732956477692,0.494444841763446,"Informal","51-100",50.0935978415719,37.4009291950352,63.9587755702131,TRUE
0.335622803892701,0.0468214420032263,7.60217296881931e-13,0.243852777566378,0.427392830219025,"Informal","101+",39.8811299112277,27.6156437802329,53.3254852276392,TRUE
