"term","estimate","std.error","statistic","p.value","conf.low","conf.high","specification","tamano_empresa","premium","ci_low","ci_high"
"tamano_empresa::101+",0.358706943021316,0.0233033196316921,15.3929546815931,7.62504885531655e-45,0.31293434825565,0.404479537786981,"Sector-year FE","101+",43.1477235702558,36.7431753800706,49.8522372790594
"tamano_empresa::11-19",0.303819031626641,0.0179007163367645,16.972451041116,1.96449352079798e-52,0.268658279946287,0.338979783306995,"Sector-year FE","11-19",35.5023817444016,30.8208023740202,40.3514970494619
"tamano_empresa::2-3",0.186852182952473,0.0108780191611022,17.1770411676257,1.95958396815559e-53,0.165485477659674,0.208218888245273,"Sector-year FE","2-3",20.5449085954987,17.9965826729724,23.1482697136241
"tamano_empresa::20-30",0.272024257768178,0.0183231581433942,14.8459264303325,2.77867653956588e-42,0.236033742005601,0.308014773530755,"Sector-year FE","20-30",31.2618842128492,26.6217034148338,36.0721091443551
"tamano_empresa::31-50",0.271870130396824,0.0179769519019732,15.1232607106761,1.41227665138306e-43,0.236559636118068,0.307180624675579,"Sector-year FE","31-50",31.2416547226755,26.6883105357815,35.9586520769111
"tamano_empresa::4-5",0.306150778299451,0.0143411864370044,21.3476604355058,1.97860639517223e-74,0.277981687988939,0.334319868609963,"Sector-year FE","4-5",35.8187076247784,32.0462016672644,39.6989925340516
"tamano_empresa::51-100",0.288632562288232,0.01774391235509,16.2665683030966,5.21421970885754e-49,0.253779806430973,0.32348531814549,"Sector-year FE","51-100",33.4601255593422,28.8887968177722,38.193586673775
"tamano_empresa::6-10",0.316725413715615,0.0180393451792844,17.5574784210753,2.63707022128877e-55,0.281292365987669,0.352158461443562,"Sector-year FE","6-10",37.2625616006614,32.4840885732547,42.2133859248884
"tamano_empresa::101+",0.338691104885374,0.0242983865493183,13.9388310494582,3.99707452265401e-38,0.290963990527432,0.386418219243316,"Sector-year and department-year FE","101+",40.3109864483711,33.7716412620264,47.1700035402311
"tamano_empresa::11-19",0.274499291313008,0.0167020304133459,16.4350851075967,8.0210534046937e-50,0.241693009549006,0.307305573077011,"Sector-year and department-year FE","11-19",31.5871641527652,27.3403210179507,35.9756409544933
"tamano_empresa::2-3",0.166979576887382,0.0105705947062657,15.7966114043145,9.29972202262186e-47,0.146216717536478,0.187742436238286,"Sector-year and department-year FE","2-3",18.173013045437,15.7446999934578,20.6522718796313
"tamano_empresa::20-30",0.242937471369537,0.0170033921451808,14.2875885761649,1.04034045092057e-39,0.209539252119924,0.27633569061915,"Sector-year and department-year FE","20-30",27.4988898316245,23.3109776333713,31.8290327453979
"tamano_empresa::31-50",0.246872322769651,0.0171133247436695,14.4257370480259,2.42405519163517e-40,0.213258172898921,0.280486472640381,"Sector-year and department-year FE","31-50",28.001567348876,23.7704151667494,32.3773635379262
"tamano_empresa::4-5",0.276755388480086,0.0136362578112375,20.2955526590304,4.6821043244454e-69,0.249970925460274,0.303539851499898,"Sector-year and department-year FE","4-5",31.8843727206728,28.3988084782461,35.4645574524332
"tamano_empresa::51-100",0.262817070356966,0.016820599378128,15.6247149372519,6.10636134984443e-46,0.229777894341735,0.295856246372197,"Sector-year and department-year FE","51-100",30.0588780947998,25.8320498787433,34.4276898260678
"tamano_empresa::6-10",0.283255060202261,0.0168808804391641,16.7796378407552,1.71101449228854e-51,0.250097479572475,0.316412640832047,"Sector-year and department-year FE","6-10",32.7443696699705,28.4150589037182,37.2196363067475
"tamano_empresa::101+",0.325472235559792,0.0239772079361638,13.5742341821583,1.79680921951988e-36,0.278375617576391,0.372568853543193,"Sector-department-year FE","101+",38.4684388815783,32.0982288198564,45.1458413757272
"tamano_empresa::11-19",0.269777833769621,0.0171489213523276,15.7314753637845,2.01706787857217e-46,0.236093503220866,0.303462164318375,"Sector-department-year FE","11-19",30.9673453195407,26.6292707078219,35.4540340015424
"tamano_empresa::2-3",0.165748051625294,0.0111701108015392,14.8385324523777,3.16168982774486e-42,0.143807446920487,0.187688656330102,"Sector-department-year FE","2-3",18.0275695716129,15.4661753441601,20.6457833860042
"tamano_empresa::20-30",0.238932514941967,0.0174295428334136,13.7084786001339,4.51781597549116e-37,0.204696980819893,0.273168049064041,"Sector-department-year FE","20-30",26.9892834900419,22.7153157674799,31.4121063084757
"tamano_empresa::31-50",0.241326579389543,0.0173450838271123,13.9132552944093,5.43062553465762e-38,0.20725694171236,0.275396217066725,"Sector-department-year FE","31-50",27.2936682318299,23.0298646213533,31.7052410143256
"tamano_empresa::4-5",0.272666613252561,0.0141639242606629,19.2507816502402,1.03380578754642e-63,0.244845486963535,0.300487739541588,"Sector-department-year FE","4-5",31.3462280905398,27.7423919306689,35.0517347676987
"tamano_empresa::51-100",0.25786030302348,0.0169431306717345,15.2191651011496,5.29323225155766e-44,0.224580191560377,0.291140414486582,"Sector-department-year FE","51-100",29.4158016033765,25.1797090885165,33.7952438665712
"tamano_empresa::6-10",0.27892702775659,0.0173225334767507,16.1019765458066,3.4394549120644e-48,0.244901684028861,0.312952371484318,"Sector-department-year FE","6-10",32.1710892141493,27.7495708799292,36.745639955799
