"estimate","std.error","p.value","conf.low","conf.high","tamano_empresa","parameter","parameter_label","premium","ci_low","ci_high"
0.19674390701872,0.0261512525905695,5.34077331351188e-14,0.145487451941204,0.248000362096236,"2-3","beta","$\hat{\beta}_g$",21.7432224932708,15.6603221365907,28.1460396205923
-0.176039772803407,0.0624389723615597,0.00481151186877084,-0.298420158632065,-0.0536593869747504,"2-3","theta","$\hat{\theta}_g$",-16.1415370187825,-25.8010479056445,-5.22451308167213
0.0207041342153126,0.0671868170856545,0.757962346877468,-0.11098202727257,0.152390295703195,"2-3","beta_plus_theta","$\hat{\beta}_g+\hat{\theta}_g$",2.0919951666607,-10.5045166436226,16.4614691850452
0.342602351701115,0.0271422859533338,1.5878748067971e-36,0.28940347123258,0.395801232169649,"4-5","beta","$\hat{\beta}_g$",40.8608519762482,33.5630508317589,48.5574003881356
-0.318377642362096,0.0852462479233237,0.000187864813844628,-0.485460288291811,-0.151294996432382,"4-5","theta","$\hat{\theta}_g$",-27.2671933344537,-38.4586136234253,-14.0405915934751
0.0242247093390183,0.0894837091254786,0.786609147282476,-0.15116336054692,0.199612779224956,"4-5","beta_plus_theta","$\hat{\beta}_g+\hat{\theta}_g$",2.45205113532594,-14.0292755058505,22.0929897194218
0.392310406885793,0.0317367780293384,4.22829259794059e-35,0.330106321948289,0.454514491823296,"6-10","beta","$\hat{\beta}_g$",48.0397165563631,39.1116026767486,57.5408323704933
-0.369223867842734,0.0812651878205521,5.53423902487738e-06,-0.528503635971016,-0.209944099714451,"6-10","theta","$\hat{\theta}_g$",-30.8729360140015,-41.0513603714669,-18.9370440872505
0.0230865390430593,0.086635603100875,0.789870595648131,-0.146719243034656,0.192892321120774,"6-10","beta_plus_theta","$\hat{\beta}_g+\hat{\theta}_g$",2.33550958860795,-13.646361275885,21.275219869056
0.409041568721549,0.0366999752530784,7.52740748151385e-29,0.337109617225516,0.480973520217583,"11-19","beta","$\hat{\beta}_g$",50.537429566989,40.0892617284277,61.7648449355599
-0.374417551926642,0.076387169205099,9.50706237252444e-07,-0.524136403568636,-0.224698700284648,"11-19","theta","$\hat{\theta}_g$",-31.2310294290133,-40.793354987741,-20.1243152282309
0.0346240167949076,0.0803966657544866,0.66671209125626,-0.122953448083886,0.192201481673701,"11-19","beta_plus_theta","$\hat{\beta}_g+\hat{\theta}_g$",3.52304063724251,-11.5695172313187,21.1914670964085
0.401876628212932,0.0349875228432907,1.5462077422643e-30,0.333301083440082,0.470452172985782,"20-30","beta","$\hat{\beta}_g$",49.4626926506094,39.556741746011,60.0717830961331
-0.378976408113201,0.0716963456170423,1.25119726051691e-07,-0.519501245522604,-0.238451570703798,"20-30","theta","$\hat{\theta}_g$",-31.5438237420617,-40.5182858287021,-21.2153157798668
0.0229002200997305,0.0787607850215685,0.771237460357227,-0.131470918542544,0.177271358742005,"20-30","beta_plus_theta","$\hat{\beta}_g+\hat{\theta}_g$",2.31644432076183,-12.3195226472251,19.3955039309814
0.400651068366593,0.0382937594736505,1.28329414253567e-25,0.325595299798238,0.475706836934948,"31-50","beta","$\hat{\beta}_g$",49.2796293763836,38.4854804431399,60.915120310393
-0.359242388780283,0.0665636564202795,6.77738318818554e-08,-0.48970715536403,-0.228777622196535,"31-50","theta","$\hat{\theta}_g$",-30.1794906241732,-38.7194175190828,-20.4494583415886
0.04140867958631,0.0760615787460364,0.586159406588349,-0.107672014755921,0.190489373928541,"31-50","beta_plus_theta","$\hat{\beta}_g+\hat{\theta}_g$",4.22779762493743,-10.207794667714,20.9841517706751
0.410225906496602,0.0442519037641268,1.85722102975873e-20,0.323492175118914,0.496959637874291,"51-100","beta","$\hat{\beta}_g$",50.7158223491879,38.194534266775,64.3716173502328
-0.342328115302907,0.0671708753135129,3.46215022479827e-07,-0.473983030917393,-0.210673199688422,"51-100","theta","$\hat{\theta}_g$",-28.9884833173442,-37.7482183965695,-18.9961255455343
0.0678977911936949,0.075100856602929,0.365948684781381,-0.0792998877480459,0.215095470135436,"51-100","beta_plus_theta","$\hat{\beta}_g+\hat{\theta}_g$",7.02559133089544,-7.6237142260428,23.9980272399856
0.336283420206532,0.0459050441222455,2.37776995853215e-13,0.24630953372693,0.426257306686133,"101+","beta","$\hat{\beta}_g$",39.9735681974023,27.9295497365834,53.1514793435564
-0.183171077648896,0.0833591588265812,0.0279938926530536,-0.346555028948995,-0.0197871263487968,"101+","theta","$\hat{\theta}_g$",-16.7374300095216,-29.2880093848642,-1.95926460122322
0.153112342557636,0.0881002726784314,0.0822226774112346,-0.0195641918920899,0.325788877007361,"101+","beta_plus_theta","$\hat{\beta}_g+\hat{\theta}_g$",16.5455901885321,-1.93740550665978,38.512290670789
