"anio","female_worker","tamano_empresa","workers","mean_income","worker_share","year","sex","sex_es"
2008,0,"Solo",1553212.24897276,5707.77938691541,0.330209978909563,"2008","Men","Hombres"
2008,0,"2-3",1069217.25711897,6150.11830044174,0.227313561399288,"2008","Men","Hombres"
2008,0,"4-5",394376.857666813,7168.07822820359,0.0838437721172398,"2008","Men","Hombres"
2008,0,"6-10",294647.615297155,7613.98022304422,0.062641524297387,"2008","Men","Hombres"
2008,0,"11-19",156470.265975983,9042.23438665549,0.033265281845462,"2008","Men","Hombres"
2008,0,"20-30",156445.693011868,8742.1484027427,0.0332600576798869,"2008","Men","Hombres"
2008,0,"31-50",120158.214822739,10095.036258463,0.0255454086256842,"2008","Men","Hombres"
2008,0,"51-100",143897.476632038,10181.7596662245,0.0305923306716323,"2008","Men","Hombres"
2008,0,"101+",815285.185365184,12914.1201255434,0.173328084453857,"2008","Men","Hombres"
2008,1,"Solo",1210862.52053237,4978.18831817928,0.411110803150484,"2008","Women","Mujeres"
2008,1,"2-3",432886.680162538,6468.49433886422,0.146973242409488,"2008","Women","Mujeres"
2008,1,"4-5",163992.337880221,7263.21235208804,0.0556785106428281,"2008","Women","Mujeres"
2008,1,"6-10",153355.504210408,7405.54683574725,0.05206710376647,"2008","Women","Mujeres"
2008,1,"11-19",102411.629772262,8124.14853665822,0.0347706916794435,"2008","Women","Mujeres"
2008,1,"20-30",93330.085092854,9178.89741956273,0.0316873349286234,"2008","Women","Mujeres"
2008,1,"31-50",76853.6551663882,10937.488108561,0.0260932743104584,"2008","Women","Mujeres"
2008,1,"51-100",88010.7245306803,11500.1415675239,0.0298813110771288,"2008","Women","Mujeres"
2008,1,"101+",623640.335149503,12981.8002144851,0.211737728035076,"2008","Women","Mujeres"
2025,0,"Solo",4595513.05976895,6815.94330631342,0.346001086188825,"2025","Men","Hombres"
2025,0,"2-3",2034204.73583794,7191.30695518575,0.153157447052444,"2025","Men","Hombres"
2025,0,"4-5",1005745.18084349,8343.8814439072,0.0757236287820534,"2025","Men","Hombres"
2025,0,"6-10",777615.961981913,9705.2496434667,0.0585475362563842,"2025","Men","Hombres"
2025,0,"11-19",520692.671382314,12279.9585265339,0.0392035073180489,"2025","Men","Hombres"
2025,0,"20-30",424653.596333605,11182.1441160897,0.0319726227897621,"2025","Men","Hombres"
2025,0,"31-50",399157.331929778,12313.4759866742,0.0300529818132821,"2025","Men","Hombres"
2025,0,"51-100",443592.300893194,13184.4741672585,0.0333985380822227,"2025","Men","Hombres"
2025,0,"101+",3080613.11836784,16929.0285072006,0.231942651716978,"2025","Men","Hombres"
2025,1,"Solo",3233254.81699209,6132.69761504823,0.34723473415707,"2025","Women","Mujeres"
2025,1,"2-3",1073945.56625982,7338.59066658726,0.115336162568936,"2025","Women","Mujeres"
2025,1,"4-5",577923.031470156,8063.68724449647,0.0620659247582831,"2025","Women","Mujeres"
2025,1,"6-10",528389.051138536,9600.60401833799,0.0567462331577947,"2025","Women","Mujeres"
2025,1,"11-19",353241.816716518,10682.2064831963,0.037936332044138,"2025","Women","Mujeres"
2025,1,"20-30",315941.888665457,11225.3385982939,0.0339305139648388,"2025","Women","Mujeres"
2025,1,"31-50",279994.247163074,12945.3689563546,0.0300699244205029,"2025","Women","Mujeres"
2025,1,"51-100",344773.858769795,13258.1800274518,0.03702691744711,"2025","Women","Mujeres"
2025,1,"101+",2603974.06392537,16776.9789446494,0.279653257481327,"2025","Women","Mujeres"
