depto,departamento,pib_inicio,pib_fin,ocupados_inicio,ocupados_fin,horas_sem_inicio,horas_sem_fin,pib_trabajador_inicio,pib_trabajador_fin,pib_hora_inicio,pib_hora_fin,crec_pib,crec_ocupados,crec_pib_trabajador,crec_pib_hora,ranking_pib_trabajador,ranking_pib_hora,ranking_crec_pib_trabajador,ranking_crec_pib_hora,pib_hora_rel_lider
5,Antioquia,111128.94804581454,149162.56286814398,2310905.774353146,3130339.2561002993,46.47023304954048,45.05931540430055,48.0889135676339,47.6506061052204,19.900627534871372,20.336700668743802,0.029872029789108634,0.030815444742597453,-0.0009152122800453188,0.002169941202573966,12,13,19,20,0.10061175828002966
8,Atlántico,33772.29157519511,45132.440414469056,757054.86887733,1209186.9753406516,47.00869792138585,44.97777455488898,44.61009758153663,37.32461673411125,18.24952678730431,15.958572831669366,0.02942053826044555,0.04794046478395364,-0.017672689571469502,-0.013324727634467681,20,20,30,29,0.07895184663370207
11,Bogotá D.C.,198995.5951380746,267051.3678142882,3620902.1725722044,3964950.027902832,47.144901120732825,45.36357146885013,54.957462437244686,67.35302234200888,22.417573322145355,28.552655527650163,0.02985275315678182,0.009118324725127636,0.0205470735429385,0.024485440262149494,6,6,7,8,0.14125855137436805
13,Bolívar,27792.85110444693,35907.28967549529,655328.3124304536,796377.3261698836,44.824477908510985,43.86524406956144,42.41057585528389,45.088287292392764,18.195147724456575,19.766958245019953,0.025947062773217677,0.019684917432291282,0.0061412552386233,0.008320103088810038,14,14,16,14,0.0977930716134317
15,Boyacá,20986.058056684422,25177.13652572238,511818.69847736997,529805.9535491505,43.2427447369208,40.43534088736809,41.002913959800004,47.52142998216927,18.2346791570971,22.600864329271605,0.018374571294451192,0.003460007688359523,0.01486313703766795,0.021698350450467085,13,11,11,9,0.11181325505327798
17,Caldas,12106.336467296247,15746.930873762623,417250.13007695647,429957.62929398025,47.31781818192782,45.25473484902362,29.014578054327714,36.624378312858774,11.792019926735021,15.5633431486158,0.026640323501335494,0.003004584043321934,0.023564936625446897,0.028138137050647716,21,21,6,5,0.07699652684096922
18,Caquetá,3323.447940373748,3896.2083901751707,188742.1580393684,156651.94694931235,47.332018665681105,45.74563210794312,17.60840278026562,24.871752097890372,7.154208502737029,10.455706980522395,0.016027188599481823,-0.01846297141110531,0.035138929053111445,0.0386738099285624,27,29,3,4,0.051727518662254966
19,Cauca,13898.553682667705,17418.488066932117,510662.2042522689,653618.4184819818,39.437365030509255,37.424753781581735,27.216726765628756,26.649322562522446,13.27164203901044,13.693796767433026,0.022831476873009793,0.024988650659330647,-0.0021045830945866095,0.0031362435744983763,26,25,21,18,0.06774732011561477
20,Cesar,14390.724653960997,15193.05583498387,375681.4254301906,466649.8886965541,47.83317452444913,45.24457642006785,38.30565920974736,32.55771875874887,15.400342959019302,13.838343193154088,0.005440203727990367,0.021920577765630833,-0.01612686386418971,-0.010637670272929056,23,24,28,27,0.06846243464091442
23,Córdoba,13683.779018080728,17032.132414305022,631624.0728066363,774002.029012392,40.071649749518194,39.703648401760894,21.664435551476902,22.005281350538073,10.396970506819086,10.658428243878445,0.022130381394521947,0.02053603109380364,0.0015622675262230157,0.0024867365416685328,31,28,17,19,0.052730441559101685
25,Cundinamarca,46230.44792279673,60506.329392063584,965222.6841272218,1497470.1840930174,45.503374454059966,44.743474286666725,47.89614736893533,40.405698914607,20.242009920051732,17.366391050824163,0.027276304392146233,0.04489599942883693,-0.01686263039223257,-0.015205545703307566,15,15,29,30,0.08591674564436216
27,Chocó,3471.6562487517144,3769.7102564905877,147373.91591592142,131819.79348657696,41.50544345497884,46.101869832132536,23.556789050325133,28.597452300473012,10.914596648897435,11.929039055917356,0.008270650235177035,-0.011091749258482886,0.019579571187864353,0.008927075659620032,25,26,9,13,0.05901653437086886
41,Huila,13915.06204359526,15353.680484528884,385504.44524862897,485561.0025486689,44.789317751396474,42.75475798218274,36.095723966609036,31.620497535713756,15.498082414924976,14.22266245372801,0.00988689178947122,0.023343513031430785,-0.013149661937170376,-0.008551194879988011,24,23,26,26,0.07036377730101719
44,La Guajira,8720.613786502312,8221.498196294806,327326.18814675946,331294.377495861,44.36253756658363,42.970837566744265,26.641967866599025,24.816292562639465,11.549058372216802,11.106052906092627,-0.005876383022996645,0.001205741036966801,-0.0070735951360291205,-0.0039037246670802217,28,27,24,24,0.05494497502981806
47,Magdalena,10128.23712088042,13126.113447441481,424610.63240295416,550091.0381352282,45.54777358181534,44.75745759078868,23.8529993080078,23.861711130466922,10.07099774767331,10.252572082998002,0.026266681171318806,0.026229206397181182,3.651696317352737e-05,0.0017884800271399381,30,31,18,22,0.05072254939310629
50,Meta,29878.124081089773,32066.04600507523,361230.27541229775,508097.8658874078,49.8367484080087,46.87483668533024,82.71212607245545,63.109979706509776,31.916564781944544,25.891363932458002,0.007092144671698275,0.0347044642351777,-0.026686189649224534,-0.020704229628883408,7,9,31,31,0.1280923435882804
52,Nariño,11569.079276205677,14662.831531486238,619344.9242966219,824688.2288883963,41.207546443304764,37.48913570580341,18.679541596864556,17.779848211548238,8.717382731827794,9.120513222753736,0.023981015103586856,0.029048209394181512,-0.0049241563654028875,0.0045309367422794455,33,33,23,17,0.04512191464605922
54,Norte de Santander,12253.405829289468,15628.732391989028,552809.7225273908,642195.3250474753,46.00101045207522,46.674687287846346,22.16568437557162,24.336415701614847,9.266386909321797,10.027019385809337,0.024629118493009416,0.01510074547684126,0.009386627936808445,0.007920184627493887,29,32,15,15,0.04960667254471304
63,Quindío,6103.736923208317,7970.451714641012,362483.14589318994,235888.77959825317,47.37419100247256,43.117794460174665,16.8386778595407,33.78902433687455,6.835382751996534,15.070087366260141,0.027043203165997953,-0.04205197468466004,0.07212831596778235,0.08226918512358505,22,22,1,1,0.07455624253168258
66,Risaralda,12366.56066412632,16348.008932040064,445497.8159564528,422915.4710528113,48.88982511941321,45.365321665451894,27.75897035000312,38.655499859920276,10.918966299854961,16.386415217954436,0.028304161565897212,-0.005188494759557072,0.033667339138140795,0.04143038110962349,19,19,4,3,0.0810685112516272
68,Santander,52134.65967115733,62586.91370183193,967061.9092605794,1009902.5625092613,46.92691172654979,45.61257372903086,53.910364136893534,61.9732200167162,22.092606006220162,26.128599971341274,0.01844058883158861,0.0043440699377963465,0.014035547493863598,0.016920305448357986,8,8,12,12,0.12926602143250024
70,Sucre,6468.790898497221,8123.3195009249675,359468.5955626244,369316.4532408935,43.94919179086323,40.811681022923565,17.995427078609065,21.995552674785333,7.874226834583374,10.364468872390605,0.023036296024496528,0.002706361191726181,0.020275063188596842,0.027859875847139337,32,30,8,7,0.05127613637410478
73,Tolima,17182.19853385976,20323.273624119254,510845.0993601897,507517.6378363845,45.4795270284084,45.489649902621075,33.634850476944344,40.044467638129944,14.222312541410382,16.92881606621272,0.01693101553925791,-0.0006532812401135457,0.017595791780046444,0.017573144813320063,16,18,10,10,0.08375193094318606
76,Valle del Cauca,75900.94881265119,99509.13857737576,1598280.4001437454,1825807.5991241753,46.2128189690207,44.717599681131645,47.48913194820186,54.5014374050746,19.761887671852044,23.438301092991047,0.02745208118011666,0.01339837524190024,0.013867898628574071,0.017208007404161174,10,10,13,11,0.11595630591578326
81,Arauca,4309.532798854145,4959.993820668658,24467.03835557965,28966.777300403457,46.70328635839672,49.31920710657472,176.13626693282907,171.23043303127733,72.52671421366517,66.76694813429401,0.014156770870772606,0.017025583342861195,-0.0028207869291342336,-0.008240538693740307,2,3,22,25,0.3303161194238008
85,Casanare,13429.612168509564,13130.556138201273,58025.18134637739,79471.39571872605,46.8709241836557,46.88652111927133,231.44455315602386,165.2236760088421,94.95986838283956,67.76741607044625,-0.0022494749710975093,0.03195184868157841,-0.033142363857743384,-0.03317453146967286,3,2,33,33,0.33526573439815965
86,Putumayo,3780.4926430609175,3446.076292775432,15682.09240517457,7779.771808025781,43.66134436966779,42.14275546132247,241.0706776484419,442.9533896123258,106.18029831859754,202.13045688100667,-0.00921904685155106,-0.06769871027951302,0.06272614236701823,0.06649489671256603,1,1,2,2,1.0
88,San Andrés y Providencia,1198.6327544902226,1531.4890568553647,19290.593391343842,18590.07950296974,47.26252696910912,47.58995461267855,62.135608281914145,82.38206063673431,25.282514933320506,33.29001697425881,0.024808633968738336,-0.00369211827526017,0.028606370346744514,0.027896469545531488,5,5,5,6,0.16469569944056725
91,Amazonas,562.6006944249419,723.4015869922182,11100.542801846786,14405.725199169787,45.723342517831725,44.45760422073911,50.68226882845248,50.2162561752815,21.316442811495453,21.72175606551329,0.02545809868404514,0.02640578475122446,-0.0009233054618931202,0.001885335421484946,11,12,20,21,0.10746404278055333
94,Guainía,291.88383692139314,340.66665968126017,6496.575731561519,8785.140523281752,45.04516889098742,43.890743652278886,44.92887468445409,38.777599376862526,19.1811206867904,16.990440418316872,0.015574899629384742,0.03063864004678285,-0.014615928252713739,-0.012054321495012732,18,17,27,28,0.08405680509750726
95,Guaviare,647.2151446967969,810.5084162106315,14987.864333672549,20755.49725219247,48.58826992627094,44.08560296929089,43.18261296525938,39.05030105337587,17.09126227331513,17.034298668266917,0.022753291318734936,0.03309280979841733,-0.010008315208098417,-0.0003337917318024797,17,16,25,23,0.08427378501546126
97,Vaupés,224.751000735887,280.5192993552313,2743.4991708854354,4792.27741292061,45.680688295633374,43.018225878314766,81.92129347841245,58.53569716121073,34.48742890592706,26.167664074610038,0.02241240726589111,0.05736203224790137,-0.033053603133175735,-0.027229450830935753,9,7,32,32,0.12945928326879916
99,Vichada,489.90750437631243,640.1519018187548,6063.055784236426,6943.32428233031,44.01944684419093,46.491137582165024,80.80207766684943,92.19674550529676,35.299991716795816,38.13660901514459,0.02710985159809365,0.01364898188216812,0.013279616471306266,0.007759143145216418,4,4,14,16,0.18867324402079322
