"education_en","worker_share_Solo","worker_share_101+","mean_income_Solo","mean_income_101+","wage_ratio"
"Preschool or less",0.652239734788133,0.0139598637398288,3688.54210679426,7811.25701317242,2.11770851111721
"Primary",0.555470727188201,0.0492502770540038,4826.81451153578,8710.4165984819,1.80458904680604
"Secondary",0.371390246407476,0.184772005078876,5839.67537728843,8702.635042659,1.49026007104866
"Higher education",0.172848851154442,0.472686088530955,12468.4242336738,21671.5790780949,1.73811691613491
