"tamano_empresa","women","formal","higher_education","mean_log_wage"
"Solo",0.49686180829956,0.111105178930624,0.198864236067258,8.45682062104799
"2-3",0.415266133719837,0.171335036023262,0.229275422249849,8.59588659217387
"4-5",0.402350732910543,0.308880696243277,0.266716325871148,8.74421399390247
"6-10",0.421143814340684,0.499614307432058,0.335017681255701,8.84727724897507
"11-19",0.438093160016829,0.669941944673512,0.415697106843922,8.94912900310739
"20-30",0.440333265623253,0.787561337952689,0.457574165812096,8.98629471946599
"31-50",0.431705146431577,0.867502647484598,0.488678594624686,9.04886599716932
"51-100",0.437136796921749,0.912226113614733,0.523385983537103,9.11371906301592
"101+",0.459487150041352,0.956436918696969,0.621839693694728,9.30023317812411
