"formal_size_group","workers","mean_hourly_income","mean_age","women","higher_education","own_account","domestic_worker","professional_admin_sector","transport_sector","commerce_sector","health_sector","households_sector"
"Formal solo",650085.348708212,15989.6599232842,44.9398366186647,0.432769805528127,0.508581599610646,0.821400001815143,0.161879438497102,0.228419594545592,0.156387112788667,0.147445403938964,0.0517777867029021,0.161879438497102
"Formal 2-100",3917623.71719523,12695.7792540066,38.3041693707307,0.41922624773678,0.482318793896004,0.076884717536791,0.00910148247342819,0.146077961004094,0.0546810226727521,0.211051890336314,0.0647359226127535,0.00911057868280155
"Formal 101+",5568239.61848084,16943.9325708686,37.9401495495781,0.457404074579257,0.634053169449871,0.0961063525000068,0.0000147851814560482,0.0936636325621053,0.0562914788146434,0.100563263489739,0.1062173774602,0.0000147851814560482
