"tamano_empresa","women","formal","higher_education","mean_age"
"Solo",0.412996638537426,0.0830380155526042,0.167022120067266,44.4903961273284
"2-3",0.345525621954316,0.130326613773453,0.170101973186986,41.2940059378134
"4-5",0.364926836932494,0.241586939747857,0.201907975639175,37.6080055345712
"6-10",0.404584244187587,0.465702037134768,0.298979771968163,37.0019239153897
"11-19",0.404197135514087,0.644053922794353,0.387884166688401,37.1708117734796
"20-30",0.426605204953224,0.812290725079444,0.454226758012334,37.0271990426525
"31-50",0.412270626738533,0.904037565709053,0.510022712246212,37.5292310622989
"51-100",0.437327065024175,0.942871447320979,0.533743691754993,37.4594493853189
"101+",0.458076194527622,0.979532803336225,0.629034985423201,37.9589897430362
