anio,depto,ocupados,ocupados_horas_validas,horas_sem_expandidas_validas,horas_semanales_promedio,share_ocupados_sin_horas_validas,horas_sem_expandidas,horas_anuales,horas_mensuales,departamento,ocupados_remuneracion_valida,rem_total_mensual,rem_por_trabajador,rem_por_hora,share_ocupados_remuneracion_valida
2016,13,683619.3151373923,683379.5176962774,30219664.850882933,44.2209110286999,0.0003507762811919557,30230268.912191384,1571973983.4339519,130997831.95282932,Bolívar,683379.5176962774,759486320822.8777,1110978.440786504,5797.701454298566,0.999649223718808
2017,13,721236.337314258,721236.337314258,32052893.34473109,44.441595197615456,0.0,32052893.34473109,1666750453.9260166,138895871.1605014,Bolívar,721236.337314258,790591466284.0723,1096161.445814113,5691.972408384284,1.0
2018,13,743474.7918268009,743243.0675328398,32253017.512930106,43.39497927641958,0.00031167740521731435,32263073.18386439,1677679805.5609481,139806650.46341234,Bolívar,743243.0675328398,841578589289.0823,1131953.0918072278,6019.589100372053,0.9996883225947827
2019,13,930911.235658458,930911.235658458,39544240.13120447,42.479066334647676,0.0,39544240.13120447,2056300486.8226326,171358373.90188605,Bolívar,930911.235658458,1070833322707.3513,1150306.5831512096,6249.086626606727,1.0
2021,13,749763.8753457139,748941.0089795777,32199180.658999033,42.9929464042435,0.0010975006841411616,32234558.108576182,1676197021.6459615,139683085.13716346,Bolívar,748941.0089795777,830629828824.0332,1107855.2276755562,5946.53123539179,0.9989024993158588
2022,13,818789.4617195129,818696.8532651266,34480924.25350634,42.11683984858318,0.00011310411127163356,34484824.62894836,1793210880.7053146,149434240.05877623,Bolívar,818696.8532651266,970878994914.376,1185749.2558287997,6497.031701252035,0.9998868958887284
2023,13,903077.9337434726,903036.767290132,38252322.132975854,42.35965081218666,4.5584607709203695e-05,38254065.929564536,1989211428.3373559,165767619.02811298,Bolívar,903036.767290132,1060601057268.7518,1174429.157926945,6398.119629677987,0.9999544153922908
2024,13,796377.3261698836,796331.6851065172,34931283.72752252,43.86524406956144,5.7310852364378384e-05,34933285.78390668,1816530860.7631476,151377571.7302623,Bolívar,796331.6851065172,1059623793375.3516,1330554.9499651527,6999.873107117091,0.9999426891476356
2025,13,885761.33413306,885761.33413306,38717461.39463441,43.710940975459465,0.0,38717461.39463441,2013307992.5209894,167775666.04341578,Bolívar,885761.33413306,1207442815100.9563,1363169.477568969,7196.769612516412,1.0
2014,15,511818.69847736997,511318.12511744426,22110799.163814574,43.2427447369208,0.0009780286679929029,22132445.329839945,1150887157.1516771,95907263.09597309,Boyacá,511318.12511744426,655501146138.0485,1280729.1880662532,6834.739361523615,0.9990219713320071
2015,15,536271.3137202064,535434.7584560397,23273609.673845135,43.46675165608612,0.0015599478151522295,23309972.01375926,1212118544.7154815,101009878.72629012,Boyacá,535434.7584560397,676607095601.7933,1261688.0267341796,6698.424987076942,0.9984400521848478
2016,15,525760.6487047566,525490.9889960688,22470548.12591816,42.76105317970783,0.000512894430863442,22482079.059061784,1169068111.0712128,97422342.58926773,Boyacá,525490.9889960688,735372281520.6768,1398682.6198048696,7548.291921299859,0.9994871055691366
2017,15,543437.4982666218,543414.7236774118,23514465.882295754,43.271676047288494,4.1908387409250736e-05,23515451.37694216,1222803471.6009924,101900289.3000827,Boyacá,543414.7236774118,772825315357.589,1422105.2426868503,7584.132691534584,0.9999580916125907
2018,15,566618.7979658268,566258.5207800118,24049899.434147846,42.471589480047925,0.0006358369808916464,24065200.978882812,1251390450.9019063,104282537.57515885,Boyacá,566258.5207800118,756510223501.8888,1335130.8255528694,7254.428604181733,0.9993641630191084
2019,15,550387.2513943772,550137.6057348934,22888775.491341352,41.60554605381996,0.00045358183506505334,22899162.135324143,1190756431.0368555,99229702.58640462,Boyacá,550137.6057348934,745943165844.2429,1355306.0394375687,7517.337514890869,0.999546418164935
2021,15,405784.0604399958,405532.96424073033,17160351.48411081,42.3155526117087,0.0006187926627605478,17170976.758541428,892890791.4441543,74407565.95367952,Boyacá,405532.96424073033,531343223905.6342,1309423.5967018846,7140.983811194792,0.9993812073372395
2022,15,510273.9424686432,509786.22444788617,21261014.440447807,41.70574531211416,0.0009557964461157642,21281355.084005628,1106630464.3682926,92219205.36402439,Boyacá,509786.22444788617,693309096786.6586,1358699.7866920533,7518.055420775999,0.9990442035538842
2023,15,518280.7512190068,518280.7512190068,21367849.28327635,41.22832891829136,0.0,21367849.28327635,1111128162.73037,92594013.56086417,Boyacá,518280.7512190068,726068101554.4679,1400916.5878662115,7841.415158845088,1.0
2024,15,529805.9535491505,529796.1551832374,21422488.13565117,40.43534088736809,1.849425407063343e-05,21422884.335917003,1113989985.4676843,92832498.78897369,Boyacá,529796.1551832374,788272340731.5562,1487851.043294151,8491.340328169474,0.9999815057459294
2025,15,522604.17780840414,522586.6714904208,20981342.65734482,40.14901986976799,3.349823580967026e-05,20982045.51885338,1091066366.9803758,90922197.24836464,Boyacá,522586.6714904208,816443733369.5625,1562260.2498001559,8979.586482488437,0.9999665017641903
2014,17,417250.13007695647,417171.1640890213,19739629.293107484,47.31781818192782,0.00018925335726227566,19743365.79136716,1026655021.1510923,85554585.09592436,Caldas,417171.1640890213,608398147268.8091,1458113.7390097345,7111.227838772978,0.9998107466427377
2015,17,431007.75488342496,430832.1023065257,20455241.884324152,47.4784533808272,0.0004075392493733121,20463581.597007688,1064106243.0443997,88675520.25369997,Caldas,430832.1023065257,607052053552.8408,1408448.10023669,6845.76816483365,0.9995924607506267
2016,17,434533.5704444661,434472.5175680921,20634002.2527705,47.492076986288694,0.00014050209357019394,20636901.780675486,1073118892.5951252,89426574.3829271,Caldas,434472.5175680921,628727494029.3502,1446902.0043405422,7030.656137370547,0.9998594979064298
2017,17,440344.9758737052,440139.80986922537,20178165.510750655,45.84489986658104,0.0004659210748861886,20187571.325682055,1049753708.9354669,87479475.74462225,Caldas,440139.80986922537,646607818670.803,1468411.9363184373,7391.537422542829,0.9995340789251138
2018,17,450151.9054625769,449841.9428183205,20952334.37759888,46.57710271818959,0.0006885734359780571,20966771.539519213,1090272120.054999,90856010.00458325,Caldas,449841.9428183205,674985542508.3862,1499461.7024108116,7429.17879042164,0.9993114265640219
2019,17,445288.5637342009,445288.5637342009,20705718.670389853,46.49955187878886,0.0,20705718.670389853,1076697370.8602724,89724780.9050227,Caldas,445288.5637342009,641849065949.1732,1441422.7497032734,7153.531716378292,1.0
2021,17,371043.28252546693,370818.0485251239,17541879.380944084,47.305894226870606,0.000607028912664842,17552534.276740607,912731782.3905115,76060981.86587596,Caldas,370818.0485251239,645982337483.9093,1740989.172710792,8492.952912743336,0.9993929710873352
2022,17,415216.41125329334,414981.0792652766,19375455.684654873,46.68997371870324,0.0005667694764434072,19386443.328990545,1008095053.1075083,84007921.09229235,Caldas,414981.0792652766,681537288177.2893,1641402.5787664086,8112.774120770615,0.9994332305235566
2023,17,430648.076310808,430636.7152490007,19470004.42313247,45.2121329503329,2.6381313263157402e-05,19470518.08096936,1012466940.2104067,84372245.01753388,Caldas,430636.7152490007,735663266120.011,1708270.1783371416,8719.25674097126,0.9999736186867368
2024,17,429957.62929398025,429900.7398882837,19455043.995043352,45.25473484902362,0.00013231398124036176,19457618.510013867,1011796162.5207211,84316346.87672676,Caldas,429900.7398882837,796577756916.4819,1852688.968967749,9447.488967721816,0.9998676860187596
