anio,rama_ptf,dln_V,dln_L,dln_K,wL_bar,wK_bar,aporte_L,aporte_K,dln_T
2015,A-B_AgriculturaPesca,0.042104290785150766,-0.007609260667708925,0.02969347412520129,0.6404535738962703,0.35954642610372967,-0.004873378189342501,0.010676182500319695,0.03630148647417357
2016,A-B_AgriculturaPesca,0.026999026310820184,0.015682736292859056,0.028782761196413986,0.6121655511576076,0.3878344488423924,0.00960043090637748,0.011162946324773416,0.006235649079669288
2017,A-B_AgriculturaPesca,0.05426180959439009,0.044226356317694046,0.028304020768088023,0.6001842859515398,0.39981571404846006,0.026543964086773574,0.011316392273835556,0.016401453233780953
2018,A-B_AgriculturaPesca,0.015822474343796245,0.004459748528375161,0.014432968117024103,0.6141237806233721,0.38587621937662775,0.002738837626875274,0.005569339171380667,0.007514297545540304
2019,A-B_AgriculturaPesca,0.026809450676156033,-0.03284935065445316,0.0187072228997458,0.5733798024968556,0.4266201975031444,-0.018835154190400306,0.0079808791282249,0.03766372573833144
2022,A-B_AgriculturaPesca,-0.00911466760214985,0.04723640880066492,0.0062508361732884765,0.8836468903455978,0.11635310965440222,0.041740305747800986,7.273042267023381e-4,-0.05158227757665318
2023,A-B_AgriculturaPesca,0.016345185427015352,0.0382021598720669,0.004862264545263173,0.7997515014484831,0.20024849855151694,0.03055223471626049,9.736611747492247e-4,-0.015180710463994362
2024,A-B_AgriculturaPesca,0.059481273097036436,-0.03098655341215757,0.010749975729311245,0.8257768991062646,0.17422310089373538,-0.02558797999068212,0.0018728941060929998,0.08319635898162556
2015,C_Mineria,-0.010636068609171545,-0.0297800136808961,0.07002341504954757,0.2014835698764732,0.7985164301235268,-0.0060001834673971575,0.05591484741042276,-0.06055073255219716
2016,C_Mineria,-0.02927350059610312,-0.18199646305167033,0.05337027132659422,0.25449840621755593,0.7455015937824441,-0.046317809783882405,0.039787622334577465,-0.022743313146798186
2017,C_Mineria,-0.05925966681864203,-0.03409165517138077,0.038800940753896285,0.2715419766530416,0.7284580233469584,-0.009257315432610621,0.02826485660558573,-0.07826720799161714
2018,C_Mineria,-0.0167579171402501,0.21116586088181682,0.025836950681323856,0.25834570854441946,0.7416542914555806,0.054553793949905276,0.019162085350930023,-0.0904737964410854
2019,C_Mineria,0.019059948990404862,0.05370683016239483,0.029311947021284368,0.2484054046699436,0.7515945953300565,0.01334106688002962,0.02203070095979828,-0.016311818849423038
2022,C_Mineria,0.014435662259330684,0.1447580089173642,0.03186156436330201,0.20167250507404927,0.7983274949259507,0.029193710287896402,0.025435962862576836,-0.04019401089114255
2023,C_Mineria,0.02535198327353605,0.11714768423075105,0.013207014850069143,0.18893444415068716,0.8110655558493128,0.02213323260367717,0.01071175484048146,-0.00749300417062258
2024,C_Mineria,-0.03472767564815804,0.015102650358263272,0.012843651989541627,0.2317956147063815,0.7682043852936185,0.003500728123489188,0.009866549781550986,-0.04809495355319821
2015,D_Manufactura,0.01983342020413481,0.015855250707218625,0.06300688950952171,0.48886635514945204,0.5111336448505479,0.007751098623218741,0.03220494108569758,-0.020122619504781513
2016,D_Manufactura,0.03172928215839654,-0.023550371953698815,0.030526316005996534,0.4814561328014236,0.5185438671985765,-0.011338471006862938,0.015829233953075245,0.027238519212184238
2017,D_Manufactura,-0.01833588957584631,-0.012910328211287217,0.030829891987284697,0.48670401392958346,0.5132959860704165,-0.006283508561581828,0.015824859808057732,-0.027877240822322208
2018,D_Manufactura,0.014641577672641404,2.444830688979428e-4,0.027732106568237214,0.49970131802065976,0.5002986819793402,1.2216851176203778e-4,0.013874336364599683,6.450727962796829e-4
2019,D_Manufactura,0.011947551858286332,0.020542139889889195,0.02912205533866974,0.5039522209783722,0.4960477790216278,0.010352257021158074,0.014445930871292062,-0.012850636034163804
2022,D_Manufactura,0.07843516866847189,0.2740510917678469,0.04020356335122699,0.4627960519859279,0.5372039480140721,0.12682976331259277,0.021597512956513,-0.06999210760063387
2023,D_Manufactura,-0.016340996338877645,0.0301776143542112,0.020913584788626594,0.43647918498290983,0.5635208150170902,0.013171900518054665,0.011785240345015878,-0.04129813720194819
2024,D_Manufactura,-0.025981731487636495,0.011107350333777488,0.01912930439562288,0.4583713894005913,0.5416286105994087,0.005091291605052709,0.010360978561534383,-0.04143400165422358
2015,E_ElectricidadGasAgua,-0.0070408967319135485,0.09111574122027044,0.03768785371191008,0.18024727381030753,0.8197527261896924,0.01642336395615921,0.030894720824576605,-0.05435898151264936
2016,E_ElectricidadGasAgua,-8.130742341272423e-5,-0.0746395620140314,0.0449541169820975,0.1863475188233375,0.8136524811766626,-0.013908897187375382,0.03657702882158957,-0.022749439057626913
2017,E_ElectricidadGasAgua,0.028443348450620576,0.06817174529263052,0.042210275331234115,0.18322119837556783,0.8167788016244322,0.012490508867869739,0.034476458101282734,-0.018523618518531897
2018,E_ElectricidadGasAgua,0.025160019175888948,0.011387068771008667,0.032338935206826847,0.18049637169119218,0.8195036283088077,0.0020553245973651472,0.026501874737638046,-0.0033971801591142453
2019,E_ElectricidadGasAgua,0.02489001229850274,0.13379299180768803,0.02026037620457366,0.1811035599977851,0.818896440002215,0.024230387119126798,0.016591149947030957,-0.015931524767655015
2022,E_ElectricidadGasAgua,0.045043326498808156,0.22559505206163913,0.00928517527473538,0.19868874238070566,0.8013112576192943,0.044823197181436895,0.007440315476613784,-0.007220186159242525
2023,E_ElectricidadGasAgua,0.031078526531695516,0.06308793631020768,0.0063306221049792555,0.19322459801512537,0.8067754019848746,0.01219014113314371,0.005107390193558972,0.013780995204992836
