anio,rama_ptf,asalariado,horas_pond
2014,A-B_AgriculturaPesca,False,71525265.59734458
2014,A-B_AgriculturaPesca,True,53850612.159181334
2014,C_Mineria,False,2675277.5297452463
2014,C_Mineria,True,6403761.801119661
2014,D_Manufactura,False,37012528.79699233
2014,D_Manufactura,True,65387066.87878317
2014,E_ElectricidadGasAgua,False,535099.2136307724
2014,E_ElectricidadGasAgua,True,6403757.623795117
2014,F_Construccion,False,25849701.885839157
2014,F_Construccion,True,29738766.35451763
2014,G-H_ComercioHotelesRest,False,116840897.0104756
2014,G-H_ComercioHotelesRest,True,100049648.11580455
2014,I_TransporteComunicaciones,False,54785856.23324457
2014,I_TransporteComunicaciones,True,33180686.661299534
2014,J-K_FinancieroInmobiliario,False,22257981.891314555
2014,J-K_FinancieroInmobiliario,True,43898189.06636733
2014,L-Q_ServiciosSocialesComunales,False,46858048.57860247
2014,L-Q_ServiciosSocialesComunales,True,115922686.060546
2015,A-B_AgriculturaPesca,False,72207044.25383036
2015,A-B_AgriculturaPesca,True,51510086.97627641
2015,C_Mineria,False,2971032.000312849
2015,C_Mineria,True,5854203.86285849
2015,D_Manufactura,False,37011745.784399755
2015,D_Manufactura,True,67340268.03613311
2015,E_ElectricidadGasAgua,False,1186780.874994291
2015,E_ElectricidadGasAgua,True,6540127.908606554
2015,F_Construccion,False,28683702.255457416
2015,F_Construccion,True,37137990.42901784
2015,G-H_ComercioHotelesRest,False,109046087.06966323
2015,G-H_ComercioHotelesRest,True,101896946.04848969
2015,I_TransporteComunicaciones,False,53404834.6227998
2015,I_TransporteComunicaciones,True,35003000.59351747
2015,J-K_FinancieroInmobiliario,False,24516566.360058963
2015,J-K_FinancieroInmobiliario,True,43587915.42473116
2015,L-Q_ServiciosSocialesComunales,False,50313689.05115089
2015,L-Q_ServiciosSocialesComunales,True,116941249.57708497
2016,A-B_AgriculturaPesca,False,73807545.56921151
2016,A-B_AgriculturaPesca,True,51431806.18616324
2016,C_Mineria,False,2592408.823712088
2016,C_Mineria,True,4906476.356286289
2016,D_Manufactura,False,34192831.96141885
2016,D_Manufactura,True,66671036.93383779
2016,E_ElectricidadGasAgua,False,1076428.2841257341
2016,E_ElectricidadGasAgua,True,6064428.21038897
2016,F_Construccion,False,28841563.815239016
2016,F_Construccion,True,36521930.37060545
2016,G-H_ComercioHotelesRest,False,110009329.17108235
2016,G-H_ComercioHotelesRest,True,103366316.9153282
2016,I_TransporteComunicaciones,False,51876556.38272708
2016,I_TransporteComunicaciones,True,33765412.8669294
2016,J-K_FinancieroInmobiliario,False,25462656.80069428
2016,J-K_FinancieroInmobiliario,True,45115610.00709262
2016,L-Q_ServiciosSocialesComunales,False,49858302.10324425
2016,L-Q_ServiciosSocialesComunales,True,116845186.30647269
2017,A-B_AgriculturaPesca,False,77374586.2460618
2017,A-B_AgriculturaPesca,True,52841602.16101177
2017,C_Mineria,False,2636016.0310972524
2017,C_Mineria,True,5280656.872881628
2017,D_Manufactura,False,34822652.329601154
2017,D_Manufactura,True,65005136.03898783
2017,E_ElectricidadGasAgua,False,1145974.4446620923
2017,E_ElectricidadGasAgua,True,6489470.618465017
2017,F_Construccion,False,28541976.758998044
2017,F_Construccion,True,34121434.49155381
2017,G-H_ComercioHotelesRest,False,106738353.77088806
2017,G-H_ComercioHotelesRest,True,102465525.17084914
2017,I_TransporteComunicaciones,False,51036703.52751334
2017,I_TransporteComunicaciones,True,32612376.99626413
2017,J-K_FinancieroInmobiliario,False,24980990.16816636
2017,J-K_FinancieroInmobiliario,True,45864085.336582005
2017,L-Q_ServiciosSocialesComunales,False,50646666.78307082
2017,L-Q_ServiciosSocialesComunales,True,113357680.80133992
2018,A-B_AgriculturaPesca,False,78687737.01667108
2018,A-B_AgriculturaPesca,True,52281983.69788144
2018,C_Mineria,False,3228019.1333151185
2018,C_Mineria,True,5639129.387978137
2018,D_Manufactura,False,36051917.80189989
2018,D_Manufactura,True,63916675.52283134
2018,E_ElectricidadGasAgua,False,1184990.3284170057
2018,E_ElectricidadGasAgua,True,6548548.676420451
2018,F_Construccion,False,28236289.46224625
2018,F_Construccion,True,32611568.198563457
2018,G-H_ComercioHotelesRest,False,108864432.4083883
2018,G-H_ComercioHotelesRest,True,103866268.1135433
2018,I_TransporteComunicaciones,False,50853668.09711588
2018,I_TransporteComunicaciones,True,32333854.88534304
2018,J-K_FinancieroInmobiliario,False,24741378.328156844
2018,J-K_FinancieroInmobiliario,True,47036319.72476219
2018,L-Q_ServiciosSocialesComunales,False,53884121.48351163
2018,L-Q_ServiciosSocialesComunales,True,113667880.15260114
2019,A-B_AgriculturaPesca,False,68566133.73279345
2019,A-B_AgriculturaPesca,True,57516773.41998221
2019,C_Mineria,False,2730932.416011477
2019,C_Mineria,True,6299296.796035303
2019,D_Manufactura,False,36345140.21330428
2019,D_Manufactura,True,64272809.74925968
2019,E_ElectricidadGasAgua,False,1470502.2851888225
2019,E_ElectricidadGasAgua,True,7005350.124909091
2019,F_Construccion,False,28530981.94259888
2019,F_Construccion,True,36941910.72347659
2019,G-H_ComercioHotelesRest,False,114685766.31238966
2019,G-H_ComercioHotelesRest,True,113821410.31153232
2019,I_TransporteComunicaciones,False,53866355.3084535
2019,I_TransporteComunicaciones,True,35634812.85148469
2019,J-K_FinancieroInmobiliario,False,25928859.23092491
2019,J-K_FinancieroInmobiliario,True,50103255.980724916
2019,L-Q_ServiciosSocialesComunales,False,57803938.43255858
2019,L-Q_ServiciosSocialesComunales,True,120652212.86272275
2021,A-B_AgriculturaPesca,False,97700829.51849915
2021,A-B_AgriculturaPesca,True,19984802.16944385
2021,C_Mineria,False,4023067.9653331707
2021,C_Mineria,True,6665073.881492308
2021,D_Manufactura,False,30709247.67352176
2021,D_Manufactura,True,50855293.39704557
2021,E_ElectricidadGasAgua,False,3209880.8155954177
2021,E_ElectricidadGasAgua,True,7377994.952970009
2021,F_Construccion,False,32828058.259019047
2021,F_Construccion,True,28929038.950581465
2021,G-H_ComercioHotelesRest,False,98525414.49274865
2021,G-H_ComercioHotelesRest,True,95145902.96715795
2021,I_TransporteComunicaciones,False,43542313.983866446
2021,I_TransporteComunicaciones,True,34790604.475444406
2021,J-K_FinancieroInmobiliario,False,25997163.831424925
2021,J-K_FinancieroInmobiliario,True,56526038.25495283
2021,L-Q_ServiciosSocialesComunales,False,40588401.290969
2021,L-Q_ServiciosSocialesComunales,True,113528240.53961882
2022,A-B_AgriculturaPesca,False,100088063.1074338
2022,A-B_AgriculturaPesca,True,22057984.60458342
2022,C_Mineria,False,4944683.187014103
2022,C_Mineria,True,7495645.896950086
2022,D_Manufactura,False,33345215.117014013
2022,D_Manufactura,True,68435141.74313831
2022,E_ElectricidadGasAgua,False,5167212.07069842
2022,E_ElectricidadGasAgua,True,8261702.728437901
2022,F_Construccion,False,32007435.10172383
2022,F_Construccion,True,37339375.99931637
2022,G-H_ComercioHotelesRest,False,106055441.68225972
2022,G-H_ComercioHotelesRest,True,124055834.80962119
2022,I_TransporteComunicaciones,False,53448618.858306564
2022,I_TransporteComunicaciones,True,41687425.88503162
2022,J-K_FinancieroInmobiliario,False,31854026.449043833
2022,J-K_FinancieroInmobiliario,True,65436906.01105118
2022,L-Q_ServiciosSocialesComunales,False,54965107.65504265
2022,L-Q_ServiciosSocialesComunales,True,132052081.32107759
2023,A-B_AgriculturaPesca,False,104864165.46039766
2023,A-B_AgriculturaPesca,True,21573758.67091895
2023,C_Mineria,False,4413581.2267184425
2023,C_Mineria,True,8033455.544023743
2023,D_Manufactura,False,32319968.268609792
2023,D_Manufactura,True,71540021.7774426
2023,E_ElectricidadGasAgua,False,4490895.529847298
2023,E_ElectricidadGasAgua,True,9055583.606108936
2023,F_Construccion,False,32793625.15254335
2023,F_Construccion,True,37867086.77122266
2023,G-H_ComercioHotelesRest,False,105692238.15546215
2023,G-H_ComercioHotelesRest,True,134000878.77456033
2023,I_TransporteComunicaciones,False,57460475.687905
2023,I_TransporteComunicaciones,True,44567913.24694918
2023,J-K_FinancieroInmobiliario,False,35289436.94502692
2023,J-K_FinancieroInmobiliario,True,67449703.68887648
2023,L-Q_ServiciosSocialesComunales,False,57611404.99774725
2023,L-Q_ServiciosSocialesComunales,True,135227294.4080003
2024,A-B_AgriculturaPesca,False,102979948.32188766
2024,A-B_AgriculturaPesca,True,19459955.14020411
2024,C_Mineria,False,3994982.3242746596
2024,C_Mineria,True,9072999.462223165
2024,D_Manufactura,False,29876134.408122335
2024,D_Manufactura,True,74597472.69286166
