anio,rama_ptf,stock_capital_productivo
2014,E_ElectricidadGasAgua,266056.6797356069
2015,E_ElectricidadGasAgua,276275.1312397422
2016,E_ElectricidadGasAgua,288978.2247794555
2017,E_ElectricidadGasAgua,301437.1732394773
2018,E_ElectricidadGasAgua,311344.6659070236
2019,E_ElectricidadGasAgua,317716.9605358434
2020,E_ElectricidadGasAgua,318352.7805301599
2021,E_ElectricidadGasAgua,322312.7228865123
2022,E_ElectricidadGasAgua,325319.3901264588
2023,E_ElectricidadGasAgua,327385.3969029528
2024,E_ElectricidadGasAgua,330858.7745487508
1990,F_Construccion,4024.975060508743
1991,F_Construccion,4181.941103472191
1992,F_Construccion,4437.765797244861
1993,F_Construccion,4679.198944606631
1994,F_Construccion,4969.544335344227
1995,F_Construccion,5348.617468610633
1996,F_Construccion,5719.564239691378
1997,F_Construccion,6130.688147250222
1998,F_Construccion,6496.396574797144
1999,F_Construccion,6362.264032589419
2000,F_Construccion,6242.909838158936
2001,F_Construccion,6058.793636912409
2002,F_Construccion,6029.798814386617
2003,F_Construccion,5952.631475964156
2004,F_Construccion,5962.571734397068
2005,F_Construccion,6078.455851777307
2006,F_Construccion,6404.499659710099
2007,F_Construccion,7055.779033427768
2008,F_Construccion,7322.552711080213
2009,F_Construccion,8083.087195996303
2010,F_Construccion,8945.111137496875
2011,F_Construccion,10012.65132242737
2012,F_Construccion,11299.60434777638
2013,F_Construccion,12300.3469306289
2014,F_Construccion,13365.12742056307
2015,F_Construccion,13398.58575323387
2016,F_Construccion,14059.46636482728
2017,F_Construccion,14745.33623526462
2018,F_Construccion,14551.08955172678
2019,F_Construccion,14775.41205173854
2020,F_Construccion,14369.81909122489
2021,F_Construccion,14217.59317417243
2022,F_Construccion,14440.11008989813
2023,F_Construccion,14396.03917190357
2024,F_Construccion,14379.14286101465
1990,G-H_ComercioHotelesRest,10364.43102101935
1991,G-H_ComercioHotelesRest,10579.04436094462
1992,G-H_ComercioHotelesRest,11000.851641798
1993,G-H_ComercioHotelesRest,11374.26141869058
1994,G-H_ComercioHotelesRest,11880.56139836101
1995,G-H_ComercioHotelesRest,12480.60552899523
1996,G-H_ComercioHotelesRest,13178.39569888531
1997,G-H_ComercioHotelesRest,13867.94912671226
1998,G-H_ComercioHotelesRest,14587.96161457392
1999,G-H_ComercioHotelesRest,15000.02653342909
2000,G-H_ComercioHotelesRest,15063.97031439347
2001,G-H_ComercioHotelesRest,15173.07348609983
2002,G-H_ComercioHotelesRest,15748.52980790685
2003,G-H_ComercioHotelesRest,16109.10143958304
2004,G-H_ComercioHotelesRest,16837.54947148232
2005,G-H_ComercioHotelesRest,18149.61706981209
2006,G-H_ComercioHotelesRest,20911.16139084073
2007,G-H_ComercioHotelesRest,24452.16879982034
2008,G-H_ComercioHotelesRest,28111.28450629489
2009,G-H_ComercioHotelesRest,29208.15705376616
2010,G-H_ComercioHotelesRest,31774.1423286987
2011,G-H_ComercioHotelesRest,35606.06802899986
2012,G-H_ComercioHotelesRest,38780.63118383975
2013,G-H_ComercioHotelesRest,41879.84196485727
2014,G-H_ComercioHotelesRest,45174.29676444078
2015,G-H_ComercioHotelesRest,49000.14957936127
2016,G-H_ComercioHotelesRest,49734.50434560986
2017,G-H_ComercioHotelesRest,50852.33767168432
2018,G-H_ComercioHotelesRest,52702.26930358462
2019,G-H_ComercioHotelesRest,55524.80213771255
2020,G-H_ComercioHotelesRest,56296.3762391116
2021,G-H_ComercioHotelesRest,59083.28910747492
2022,G-H_ComercioHotelesRest,64099.87852808321
2023,G-H_ComercioHotelesRest,64772.49633512371
2024,G-H_ComercioHotelesRest,65566.94156299265
1990,I_TransporteComunicaciones,43722.26857849921
1991,I_TransporteComunicaciones,45176.10318665813
1992,I_TransporteComunicaciones,47140.0133571407
1993,I_TransporteComunicaciones,48936.6375551814
1994,I_TransporteComunicaciones,51837.66220782064
1995,I_TransporteComunicaciones,55699.90498700494
1996,I_TransporteComunicaciones,60149.66657555481
1997,I_TransporteComunicaciones,64440.56196033799
1998,I_TransporteComunicaciones,68253.13396353359
1999,I_TransporteComunicaciones,69343.3987322384
2000,I_TransporteComunicaciones,69637.56355874577
2001,I_TransporteComunicaciones,69338.06964942855
2002,I_TransporteComunicaciones,69486.21971895677
2003,I_TransporteComunicaciones,69065.21351498358
2004,I_TransporteComunicaciones,69582.75655606248
2005,I_TransporteComunicaciones,71104.31098093184
2006,I_TransporteComunicaciones,76441.68608377574
2007,I_TransporteComunicaciones,82107.35417730207
2008,I_TransporteComunicaciones,86074.14793480973
2009,I_TransporteComunicaciones,89703.59477763221
2010,I_TransporteComunicaciones,93482.59844877663
2011,I_TransporteComunicaciones,100863.5660840918
2012,I_TransporteComunicaciones,107363.2653328228
2013,I_TransporteComunicaciones,115200.4359746589
2014,I_TransporteComunicaciones,123895.6295090112
2015,I_TransporteComunicaciones,127872.231454485
2016,I_TransporteComunicaciones,132818.5177973542
2017,I_TransporteComunicaciones,137747.1405635116
2018,I_TransporteComunicaciones,144787.5142995844
2019,I_TransporteComunicaciones,152209.3707371149
2020,I_TransporteComunicaciones,156265.3364195756
2021,I_TransporteComunicaciones,163581.0098599959
2022,I_TransporteComunicaciones,175801.3387943791
2023,I_TransporteComunicaciones,178685.3688961298
2024,I_TransporteComunicaciones,181033.5529659649
1990,J-K_FinancieroInmobiliario,122464.5093718595
1991,J-K_FinancieroInmobiliario,125368.5712003601
1992,J-K_FinancieroInmobiliario,128974.551571063
1993,J-K_FinancieroInmobiliario,133526.9282751983
1994,J-K_FinancieroInmobiliario,139324.5634536343
1995,J-K_FinancieroInmobiliario,145670.1996343791
1996,J-K_FinancieroInmobiliario,151833.4685720315
1997,J-K_FinancieroInmobiliario,160390.1807787128
1998,J-K_FinancieroInmobiliario,169307.6325486119
1999,J-K_FinancieroInmobiliario,175368.6885257549
2000,J-K_FinancieroInmobiliario,187420.3598051489
2001,J-K_FinancieroInmobiliario,203674.086251216
2002,J-K_FinancieroInmobiliario,223325.2561831331
2003,J-K_FinancieroInmobiliario,247300.3893860618
2004,J-K_FinancieroInmobiliario,270298.539459658
2005,J-K_FinancieroInmobiliario,294517.2934488441
2006,J-K_FinancieroInmobiliario,322751.4385302164
2007,J-K_FinancieroInmobiliario,358403.8160373031
2008,J-K_FinancieroInmobiliario,384825.7063294106
2009,J-K_FinancieroInmobiliario,414940.2111081932
2010,J-K_FinancieroInmobiliario,444085.5753500967
2011,J-K_FinancieroInmobiliario,475374.8148715385
2012,J-K_FinancieroInmobiliario,506033.9934474087
2013,J-K_FinancieroInmobiliario,538402.0209583137
2014,J-K_FinancieroInmobiliario,573686.7723299174
2015,J-K_FinancieroInmobiliario,611487.1050395917
2016,J-K_FinancieroInmobiliario,648193.472867327
2017,J-K_FinancieroInmobiliario,684432.7651874314
2018,J-K_FinancieroInmobiliario,720645.3573317637
2019,J-K_FinancieroInmobiliario,752799.010984665
2020,J-K_FinancieroInmobiliario,771078.5170930164
2021,J-K_FinancieroInmobiliario,800512.7528408471
2022,J-K_FinancieroInmobiliario,831823.0558244889
2023,J-K_FinancieroInmobiliario,858760.8780879719
2024,J-K_FinancieroInmobiliario,884031.2095990985
1990,L-Q_ServiciosSocialesComunales,122845.107597919
1991,L-Q_ServiciosSocialesComunales,127867.5521646038
1992,L-Q_ServiciosSocialesComunales,132586.9482211216
1993,L-Q_ServiciosSocialesComunales,137472.5460570948
1994,L-Q_ServiciosSocialesComunales,144615.4533532243
1995,L-Q_ServiciosSocialesComunales,156046.5896752099
1996,L-Q_ServiciosSocialesComunales,169627.8376300496
1997,L-Q_ServiciosSocialesComunales,182590.0395569943
1998,L-Q_ServiciosSocialesComunales,196497.6928406094
1999,L-Q_ServiciosSocialesComunales,206917.7861254978
2000,L-Q_ServiciosSocialesComunales,216404.5547483425
2001,L-Q_ServiciosSocialesComunales,221872.5295610279
2002,L-Q_ServiciosSocialesComunales,228685.8951213768
2003,L-Q_ServiciosSocialesComunales,235355.4134010536
2004,L-Q_ServiciosSocialesComunales,242947.530644008
2005,L-Q_ServiciosSocialesComunales,251214.7801844765
2006,L-Q_ServiciosSocialesComunales,259714.4191185356
2007,L-Q_ServiciosSocialesComunales,272826.3350068876
2008,L-Q_ServiciosSocialesComunales,281466.1095491269
2009,L-Q_ServiciosSocialesComunales,293890.155430892
2010,L-Q_ServiciosSocialesComunales,305269.1399228731
2011,L-Q_ServiciosSocialesComunales,316533.4750156221
2012,L-Q_ServiciosSocialesComunales,327594.5962401892
2013,L-Q_ServiciosSocialesComunales,341438.6414524007
2014,L-Q_ServiciosSocialesComunales,357395.736883052
2015,L-Q_ServiciosSocialesComunales,379934.2632750035
2016,L-Q_ServiciosSocialesComunales,400871.6982951809
2017,L-Q_ServiciosSocialesComunales,424417.6891940512
2018,L-Q_ServiciosSocialesComunales,450731.2112632308
2019,L-Q_ServiciosSocialesComunales,482728.2188334743
2020,L-Q_ServiciosSocialesComunales,499909.8745297161
2021,L-Q_ServiciosSocialesComunales,514978.6816474793
2022,L-Q_ServiciosSocialesComunales,530790.6754091271
2023,L-Q_ServiciosSocialesComunales,539787.5346642247
2024,L-Q_ServiciosSocialesComunales,549417.5386327199
1990,TOT_Economia,554256.0537646104
1991,TOT_Economia,570962.0200953177
1992,TOT_Economia,587753.55393382
1993,TOT_Economia,604854.503545838
1994,TOT_Economia,628307.3466140027
1995,TOT_Economia,661424.0588152432
1996,TOT_Economia,698476.5213868334
1997,TOT_Economia,736967.0431073832
1998,TOT_Economia,777618.1419306048
1999,TOT_Economia,802702.4680020293
2000,TOT_Economia,833961.7902742737
2001,TOT_Economia,861674.3162289073
2002,TOT_Economia,896497.8772638012
2003,TOT_Economia,934840.9886922452
2004,TOT_Economia,974651.6892736328
2005,TOT_Economia,1020685.139127993
2006,TOT_Economia,1080433.564838629
2007,TOT_Economia,1159622.175385646
2008,TOT_Economia,1226031.64898609
2009,TOT_Economia,1297258.360891433
2010,TOT_Economia,1372992.856117014
2011,TOT_Economia,1459429.301029584
2012,TOT_Economia,1545410.919027931
2013,TOT_Economia,1639552.111362246
2014,TOT_Economia,1743436.881669943
2015,TOT_Economia,1845687.082303745
2016,TOT_Economia,1938192.857307458
2017,TOT_Economia,2031136.702169707
2018,TOT_Economia,2123264.407834853
2019,TOT_Economia,2216637.326163576
2020,TOT_Economia,2260668.139798926
2021,TOT_Economia,2327405.246993779
2022,TOT_Economia,2410842.483733814
2023,TOT_Economia,2460208.894972692
2024,TOT_Economia,2509369.094000875
