anio,rama_ptf,concepto,valor
2015,J-K_FinancieroInmobiliario,excedente_explotacion_bruto,78224.0
2015,L-Q_ServiciosSocialesComunales,excedente_explotacion_bruto,24817.0
2015,TOT_Economia,excedente_explotacion_bruto,281736.0
2016,A-B_AgriculturaPesca,produccion,89988.0
2016,C_Mineria,produccion,77051.0
2016,D_Manufactura,produccion,341282.0
2016,E_ElectricidadGasAgua,produccion,63585.0
2016,F_Construccion,produccion,164325.0
2016,G-H_ComercioHotelesRest,produccion,198046.0
2016,I_TransporteComunicaciones,produccion,136530.0
2016,J-K_FinancieroInmobiliario,produccion,232790.0
2016,L-Q_ServiciosSocialesComunales,produccion,240106.0
2016,TOT_Economia,produccion,1543703.0
2016,A-B_AgriculturaPesca,valor_agregado,57065.0
2016,C_Mineria,valor_agregado,40999.0
2016,D_Manufactura,valor_agregado,106226.0
2016,E_ElectricidadGasAgua,valor_agregado,27624.0
2016,F_Construccion,valor_agregado,64325.0
2016,G-H_ComercioHotelesRest,valor_agregado,108636.0
2016,I_TransporteComunicaciones,valor_agregado,69170.0
2016,J-K_FinancieroInmobiliario,valor_agregado,169612.0
2016,L-Q_ServiciosSocialesComunales,valor_agregado,144062.0
2016,TOT_Economia,valor_agregado,787719.0
2016,A-B_AgriculturaPesca,remuneracion_asalariados,13893.0
2016,C_Mineria,remuneracion_asalariados,7381.0
2016,D_Manufactura,remuneracion_asalariados,33307.0
2016,E_ElectricidadGasAgua,remuneracion_asalariados,4313.0
2016,F_Construccion,remuneracion_asalariados,15042.0
2016,G-H_ComercioHotelesRest,remuneracion_asalariados,43997.0
2016,I_TransporteComunicaciones,remuneracion_asalariados,19181.0
2016,J-K_FinancieroInmobiliario,remuneracion_asalariados,50875.0
2016,L-Q_ServiciosSocialesComunales,remuneracion_asalariados,103572.0
2016,TOT_Economia,remuneracion_asalariados,291561.0
2016,A-B_AgriculturaPesca,ingreso_mixto,33891.0
2016,C_Mineria,ingreso_mixto,6611.0
2016,D_Manufactura,ingreso_mixto,12848.0
2016,E_ElectricidadGasAgua,ingreso_mixto,598.0
2016,F_Construccion,ingreso_mixto,30154.0
2016,G-H_ComercioHotelesRest,ingreso_mixto,36737.0
2016,I_TransporteComunicaciones,ingreso_mixto,16553.0
2016,J-K_FinancieroInmobiliario,ingreso_mixto,29803.0
2016,L-Q_ServiciosSocialesComunales,ingreso_mixto,8578.0
2016,TOT_Economia,ingreso_mixto,175773.0
2016,A-B_AgriculturaPesca,excedente_explotacion_bruto,9660.0
2016,C_Mineria,excedente_explotacion_bruto,26287.0
2016,D_Manufactura,excedente_explotacion_bruto,56779.0
2016,E_ElectricidadGasAgua,excedente_explotacion_bruto,22059.0
2016,F_Construccion,excedente_explotacion_bruto,17854.0
2016,G-H_ComercioHotelesRest,excedente_explotacion_bruto,23295.0
2016,I_TransporteComunicaciones,excedente_explotacion_bruto,31609.0
2016,J-K_FinancieroInmobiliario,excedente_explotacion_bruto,81793.0
2016,L-Q_ServiciosSocialesComunales,excedente_explotacion_bruto,28344.0
2016,TOT_Economia,excedente_explotacion_bruto,297680.0
2017,A-B_AgriculturaPesca,produccion,93223.0
2017,C_Mineria,produccion,87006.0
2017,D_Manufactura,produccion,346201.0
2017,E_ElectricidadGasAgua,produccion,65315.0
2017,F_Construccion,produccion,162647.0
2017,G-H_ComercioHotelesRest,produccion,211517.0
2017,I_TransporteComunicaciones,produccion,142012.0
2017,J-K_FinancieroInmobiliario,produccion,249967.0
2017,L-Q_ServiciosSocialesComunales,produccion,260436.0
2017,TOT_Economia,produccion,1618324.0
2017,A-B_AgriculturaPesca,valor_agregado,58815.0
2017,C_Mineria,valor_agregado,47538.0
2017,D_Manufactura,valor_agregado,105022.0
2017,E_ElectricidadGasAgua,valor_agregado,29789.0
2017,F_Construccion,valor_agregado,64474.0
2017,G-H_ComercioHotelesRest,valor_agregado,117697.0
2017,I_TransporteComunicaciones,valor_agregado,72176.0
2017,J-K_FinancieroInmobiliario,valor_agregado,182934.0
2017,L-Q_ServiciosSocialesComunales,valor_agregado,157461.0
2017,TOT_Economia,valor_agregado,835906.0
2017,A-B_AgriculturaPesca,remuneracion_asalariados,14500.0
2017,C_Mineria,remuneracion_asalariados,8496.0
2017,D_Manufactura,remuneracion_asalariados,34129.0
2017,E_ElectricidadGasAgua,remuneracion_asalariados,4623.0
2017,F_Construccion,remuneracion_asalariados,16122.0
2017,G-H_ComercioHotelesRest,remuneracion_asalariados,46833.0
2017,I_TransporteComunicaciones,remuneracion_asalariados,20290.0
2017,J-K_FinancieroInmobiliario,remuneracion_asalariados,54958.0
2017,L-Q_ServiciosSocialesComunales,remuneracion_asalariados,112467.0
2017,TOT_Economia,remuneracion_asalariados,312418.0
2017,A-B_AgriculturaPesca,ingreso_mixto,35486.0
2017,C_Mineria,ingreso_mixto,5542.0
2017,D_Manufactura,ingreso_mixto,12364.0
2017,E_ElectricidadGasAgua,ingreso_mixto,614.0
2017,F_Construccion,ingreso_mixto,27949.0
2017,G-H_ComercioHotelesRest,ingreso_mixto,41677.0
2017,I_TransporteComunicaciones,ingreso_mixto,17421.0
2017,J-K_FinancieroInmobiliario,ingreso_mixto,32607.0
2017,L-Q_ServiciosSocialesComunales,ingreso_mixto,9159.0
2017,TOT_Economia,ingreso_mixto,182819.0
2017,A-B_AgriculturaPesca,excedente_explotacion_bruto,9595.0
2017,C_Mineria,excedente_explotacion_bruto,32602.0
2017,D_Manufactura,excedente_explotacion_bruto,55129.0
2017,E_ElectricidadGasAgua,excedente_explotacion_bruto,23777.0
2017,F_Construccion,excedente_explotacion_bruto,19065.0
2017,G-H_ComercioHotelesRest,excedente_explotacion_bruto,24011.0
2017,I_TransporteComunicaciones,excedente_explotacion_bruto,32547.0
2017,J-K_FinancieroInmobiliario,excedente_explotacion_bruto,87543.0
2017,L-Q_ServiciosSocialesComunales,excedente_explotacion_bruto,31787.0
2017,TOT_Economia,excedente_explotacion_bruto,316056.0
2018,A-B_AgriculturaPesca,produccion,97759.0
2018,C_Mineria,produccion,101914.0
2018,D_Manufactura,produccion,364980.0
2018,E_ElectricidadGasAgua,produccion,71733.0
2018,F_Construccion,produccion,167458.0
2018,G-H_ComercioHotelesRest,produccion,225923.0
2018,I_TransporteComunicaciones,produccion,151276.0
