anio,dln_V_agg,dln_L_agg,dln_K_agg,dln_T_agg,dln_V_directo
2015,0.030749334841182203,0.019169649394573208,0.05521853259969782,0.00327905930578487,0.030312352936274323
2016,0.02194561308102538,-0.001274910611575424,0.04247529835979506,7.153819840371998e-4,0.02165306857256688
2017,0.013479811551179057,-0.0084640206493019,0.04209826670089361,0.005433519795227811,0.013757584530534217
2018,0.024639776418520987,0.029958134493932365,0.03817475206057624,-0.0038650684838120943,0.02483540057353828
2019,0.030206596195270115,0.06701052803776354,0.04292196648507955,-0.025369396269927753,0.03022050329541237
2022,0.0607751105230437,0.18938051957907623,0.04066678200475698,-0.07132702143263082,0.06218186654353097
2023,0.011784148494934327,0.05158180566690472,0.016441396546761175,-0.023907308146048432,0.012129982231357417
2024,0.016303703882562567,-0.005612970675759376,0.016687143844766703,0.014326243484331053,0.015878895081732125
