anio,rama_ptf,concepto,valor
2020,L-Q_ServiciosSocialesComunales,valor_agregado,184115
2020,TOT_Economia,valor_agregado,889768
2021,A-B_AgriculturaPesca,produccion,123003
2021,C_Mineria,produccion,76205
2021,D_Manufactura,produccion,419946
2021,E_ElectricidadGasAgua,produccion,90894
2021,F_Construccion,produccion,138933
2021,G-H_ComercioHotelesRest,produccion,281893
2021,I_TransporteComunicaciones,produccion,163772
2021,J-K_FinancieroInmobiliario,produccion,305687
2021,L-Q_ServiciosSocialesComunales,produccion,347618
2021,TOT_Economia,produccion,1947951
2021,A-B_AgriculturaPesca,valor_agregado,78249
2021,C_Mineria,valor_agregado,40605
2021,D_Manufactura,valor_agregado,121671
2021,E_ElectricidadGasAgua,valor_agregado,41115
2021,F_Construccion,valor_agregado,49406
2021,G-H_ComercioHotelesRest,valor_agregado,154264
2021,I_TransporteComunicaciones,valor_agregado,83105
2021,J-K_FinancieroInmobiliario,valor_agregado,224144
2021,L-Q_ServiciosSocialesComunales,valor_agregado,210426
2021,TOT_Economia,valor_agregado,1002985
2022,A-B_AgriculturaPesca,produccion,148258
2022,C_Mineria,produccion,112881
2022,D_Manufactura,produccion,516200
2022,E_ElectricidadGasAgua,produccion,100968
2022,F_Construccion,produccion,157627
2022,G-H_ComercioHotelesRest,produccion,371509
2022,I_TransporteComunicaciones,produccion,199062
2022,J-K_FinancieroInmobiliario,produccion,333363
2022,L-Q_ServiciosSocialesComunales,produccion,382095
2022,TOT_Economia,produccion,2321963
2022,A-B_AgriculturaPesca,valor_agregado,91849
2022,C_Mineria,valor_agregado,65169
2022,D_Manufactura,valor_agregado,144463
2022,E_ElectricidadGasAgua,valor_agregado,46885
2022,F_Construccion,valor_agregado,53572
2022,G-H_ComercioHotelesRest,valor_agregado,181493
2022,I_TransporteComunicaciones,valor_agregado,97220
2022,J-K_FinancieroInmobiliario,valor_agregado,242429
2022,L-Q_ServiciosSocialesComunales,valor_agregado,225755
2022,TOT_Economia,valor_agregado,1148835
2023,A-B_AgriculturaPesca,produccion,202040
2023,C_Mineria,produccion,188299
2023,D_Manufactura,produccion,595980
